step	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	dominant_world_pressure	high_risk_countries	world_context_for_agents
11	66.0	67.7	72.1	60.8	70.6	67.5	78.7	29.0	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ11: SNS不安増幅が78.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は29.0。
12	63.9	65.9	75.4	59.9	72.4	65.3	80.9	28.8	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ12: SNS不安増幅が80.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は28.8。
13	64.1	65.6	78.9	60.1	74.9	65.9	84.2	26.5	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ13: SNS不安増幅が84.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は26.5。
14	62.6	63.7	75.5	52.5	73.1	60.2	80.4	30.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ14: SNS不安増幅が80.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は30.2。
15	61.2	62.3	73.6	50.4	72.6	58.1	72.4	30.5	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ15: 雇用不確実性が73.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は30.5。
16	62.2	64.1	74.0	50.9	76.9	59.7	71.8	27.0	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ16: 財政圧力が76.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は27.0。
17	63.5	63.0	78.0	51.2	77.4	59.7	78.0	25.3	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ17: 雇用不確実性が78.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は25.3。
18	62.9	62.6	79.9	50.4	79.7	59.0	82.1	23.1	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ18: SNS不安増幅が82.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は23.1。
19	57.6	59.4	75.9	49.9	76.8	55.1	75.5	28.2	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ19: 財政圧力が76.8。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は28.2。
20	56.7	59.0	78.0	51.5	77.7	54.2	79.2	26.1	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ20: SNS不安増幅が79.2。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は26.1。
21	54.9	46.9	74.3	50.1	72.8	51.2	71.3	31.3	雇用不確実性	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ21: 雇用不確実性が74.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は31.3。
22	54.3	45.7	77.3	49.8	73.9	51.0	75.3	29.6	雇用不確実性	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ22: 雇用不確実性が77.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は29.6。
23	55.2	45.3	78.5	54.5	74.0	54.0	80.1	27.4	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ23: SNS不安増幅が80.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は27.4。
24	55.7	45.6	80.3	52.9	74.7	54.1	82.3	27.1	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ24: SNS不安増幅が82.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は27.1。
25	56.2	44.8	81.8	53.7	74.9	53.7	84.5	26.4	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ25: SNS不安増幅が84.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は26.4。
26	56.5	44.6	84.3	54.4	76.7	56.1	87.2	24.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ26: SNS不安増幅が87.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は24.6。
27	56.1	44.6	84.1	55.3	78.6	56.1	88.3	24.8	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ27: SNS不安増幅が88.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は24.8。
28	55.9	45.3	85.8	54.6	80.5	58.2	89.5	22.7	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ28: SNS不安増幅が89.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は22.7。
29	55.9	51.9	82.8	60.8	80.0	60.5	87.2	22.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ29: SNS不安増幅が87.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は22.2。
30	56.8	51.9	84.1	60.7	82.2	61.0	89.2	19.8	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ30: SNS不安増幅が89.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は19.8。
31	58.3	52.7	87.9	62.0	82.6	61.9	92.0	18.0	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ31: SNS不安増幅が92.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は18.0。
32	58.0	52.6	90.4	62.6	81.7	61.3	94.0	16.7	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ32: SNS不安増幅が94.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は16.7。
33	56.9	52.1	90.6	65.3	81.8	61.0	94.2	16.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ33: SNS不安増幅が94.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は16.2。
34	58.4	56.2	87.6	63.8	81.6	63.5	89.9	17.4	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ34: SNS不安増幅が89.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は17.4。
35	59.2	56.1	88.3	63.1	82.4	63.1	93.1	16.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ35: SNS不安増幅が93.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は16.2。
36	60.9	56.4	88.5	62.7	84.3	64.3	92.5	15.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ36: SNS不安増幅が92.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は15.2。
37	59.0	55.3	85.9	61.0	82.6	62.5	87.1	18.4	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ37: SNS不安増幅が87.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は18.4。
38	61.0	54.9	86.0	60.4	85.0	62.8	89.1	16.7	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ38: SNS不安増幅が89.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は16.7。
39	61.6	55.3	89.4	62.3	86.5	64.9	92.2	14.9	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ39: SNS不安増幅が92.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.9。
40	61.2	55.2	90.3	61.7	86.7	65.8	92.7	14.5	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ40: SNS不安増幅が92.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.5。
41	59.6	53.5	85.8	60.4	85.1	64.2	85.3	18.4	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ41: 雇用不確実性が85.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は18.4。
42	61.3	51.8	89.5	60.9	87.6	68.1	88.7	16.1	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ42: 雇用不確実性が89.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は16.1。
43	63.3	51.0	88.4	67.2	86.7	71.3	88.5	15.5	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ43: SNS不安増幅が88.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は15.5。
44	63.4	50.6	88.4	66.4	87.9	70.5	90.7	14.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ44: SNS不安増幅が90.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.2。
45	65.1	50.8	90.2	66.3	89.5	71.6	94.7	11.9	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ45: SNS不安増幅が94.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は11.9。
46	72.0	54.3	88.6	74.2	89.0	77.7	91.9	10.0	SNS不安増幅	北朝鮮(限定戦争)、ウクライナ(限定戦争)、中国(間接衝突)、台湾(間接衝突)、ロシア(間接衝突)	ステップ46: SNS不安増幅が91.9。高リスク国: 北朝鮮(限定戦争)、ウクライナ(限定戦争)、中国(間接衝突)、台湾(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は10.0。
47	70.9	54.2	90.0	73.0	90.0	77.1	91.8	9.8	SNS不安増幅	北朝鮮(限定戦争)、ウクライナ(限定戦争)、中国(間接衝突)、台湾(間接衝突)、ロシア(間接衝突)	ステップ47: SNS不安増幅が91.8。高リスク国: 北朝鮮(限定戦争)、ウクライナ(限定戦争)、中国(間接衝突)、台湾(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は9.8。
48	71.6	54.0	90.4	72.7	90.0	77.3	93.0	9.4	SNS不安増幅	北朝鮮(限定戦争)、ウクライナ(限定戦争)、中国(間接衝突)、台湾(間接衝突)、ロシア(間接衝突)	ステップ48: SNS不安増幅が93.0。高リスク国: 北朝鮮(限定戦争)、ウクライナ(限定戦争)、中国(間接衝突)、台湾(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は9.4。
49	69.6	53.1	86.2	71.2	88.7	74.9	88.2	14.0	財政圧力	ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ49: 財政圧力が88.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.0。
50	70.4	53.3	90.0	73.5	89.6	75.8	91.2	12.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)	ステップ50: SNS不安増幅が91.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)。日本の緩衝政策余力は12.2。
51	70.3	53.5	90.5	73.3	90.1	75.3	92.7	11.3	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)	ステップ51: SNS不安増幅が92.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は11.3。
52	69.4	53.1	91.6	72.3	90.7	74.2	93.1	10.8	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)	ステップ52: SNS不安増幅が93.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は10.8。
53	68.8	53.2	92.6	72.0	92.4	74.1	94.3	9.5	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)	ステップ53: SNS不安増幅が94.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は9.5。
54	68.9	64.2	90.5	72.3	93.6	75.7	92.5	9.0	財政圧力	ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)	ステップ54: 財政圧力が93.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)。日本の緩衝政策余力は9.0。
55	67.4	62.7	87.0	71.0	92.1	73.9	88.4	11.5	財政圧力	ウクライナ(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)、イスラエル(間接衝突)	ステップ55: 財政圧力が92.1。高リスク国: ウクライナ(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は11.5。
56	67.6	62.3	87.8	71.7	93.0	74.0	88.7	10.6	財政圧力	ウクライナ(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)、イスラエル(間接衝突)	ステップ56: 財政圧力が93.0。高リスク国: ウクライナ(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は10.6。
57	66.1	61.5	84.5	71.1	91.4	72.2	85.1	14.3	財政圧力	ウクライナ(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)、イスラエル(間接衝突)	ステップ57: 財政圧力が91.4。高リスク国: ウクライナ(限定戦争)、台湾(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.3。
58	66.2	60.7	83.5	69.6	90.3	71.2	85.6	14.1	財政圧力	ウクライナ(限定戦争)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ58: 財政圧力が90.3。高リスク国: ウクライナ(限定戦争)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.1。
59	64.9	59.9	81.4	68.7	89.0	69.7	83.0	16.1	財政圧力	ウクライナ(限定戦争)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)、北朝鮮(間接衝突)	ステップ59: 財政圧力が89.0。高リスク国: ウクライナ(限定戦争)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)、北朝鮮(間接衝突)。日本の緩衝政策余力は16.1。
60	63.9	58.2	80.0	67.0	87.9	67.8	81.2	17.4	財政圧力	ウクライナ(限定戦争)、台湾(間接衝突)、北朝鮮(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)	ステップ60: 財政圧力が87.9。高リスク国: ウクライナ(限定戦争)、台湾(間接衝突)、北朝鮮(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は17.4。
61	63.2	57.4	82.6	66.4	87.0	67.9	82.9	17.6	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)	ステップ61: 財政圧力が87.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、台湾(間接衝突)、韓国(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は17.6。
62	62.9	57.0	84.1	65.7	87.9	68.2	84.2	17.0	財政圧力	ウクライナ(限定戦争)、台湾(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)	ステップ62: 財政圧力が87.9。高リスク国: ウクライナ(限定戦争)、台湾(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、韓国(間接衝突)。日本の緩衝政策余力は17.0。
63	62.2	55.9	81.2	64.5	85.3	65.9	80.2	19.8	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ63: 財政圧力が85.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は19.8。
64	62.1	56.3	82.2	62.8	87.1	64.5	82.3	18.0	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ64: 財政圧力が87.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は18.0。
65	60.9	54.4	79.4	60.6	85.3	62.0	79.3	20.5	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ65: 財政圧力が85.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は20.5。
66	59.9	54.3	79.2	59.3	85.8	60.3	80.2	19.9	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ66: 財政圧力が85.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は19.9。
67	61.2	54.2	78.8	59.8	85.9	61.5	80.6	20.2	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ67: 財政圧力が85.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は20.2。
68	61.7	52.8	76.8	59.4	84.3	61.2	79.6	21.8	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ68: 財政圧力が84.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は21.8。
69	62.6	52.5	77.2	60.1	84.6	62.4	80.4	21.7	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ69: 財政圧力が84.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は21.7。
70	63.3	51.3	76.4	59.5	83.7	61.5	79.8	22.5	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ70: 財政圧力が83.7。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は22.5。
71	63.7	50.9	74.3	59.5	82.3	61.6	78.3	24.0	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ71: 財政圧力が82.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は24.0。
