step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	side_effect_pressure	policy_fatigue_pressure	fairness_gap_pressure	coercion_pressure	fiscal_anxiety_pressure	feedback_summary
11	20	75.0	18.5	15.9	80.7	0.0	0.0	61.7	38.3	15.5	10.7	41.7	1.5	0.0	20.6	6.7	100.0	93.8	88.9	0.0	0.0	政策疲労93.8、公平感欠損88.9、生活防衛41.7
12	21	76.67	16.7	15.0	81.1	0.0	0.0	58.2	41.8	19.0	15.7	51.1	1.4	0.0	9.1	6.5	100.0	94.6	89.6	0.0	0.0	政策疲労94.6、公平感欠損89.6、生活防衛51.1
13	21	76.67	15.7	14.1	82.7	0.0	0.0	43.8	56.2	24.4	11.1	51.7	2.8	0.0	15.5	6.7	100.0	95.7	90.7	0.0	0.0	政策疲労95.7、公平感欠損90.7、生活防衛51.7
14	21	76.67	15.4	13.7	82.2	0.0	0.0	38.1	61.9	19.5	12.9	62.8	1.6	0.0	9.4	6.7	100.0	96.6	91.7	0.0	0.0	政策疲労96.6、公平感欠損91.7、生活防衛62.8
15	21	76.67	18.4	16.7	78.8	0.0	0.0	42.4	57.6	18.6	12.1	58.1	3.0	0.0	8.2	6.4	100.0	95.8	90.0	0.0	0.0	政策疲労95.8、公平感欠損90.0、生活防衛58.1
16	21	76.67	17.0	16.7	80.0	0.0	0.0	38.1	61.9	19.1	12.8	57.0	2.8	0.0	12.4	6.4	100.0	96.8	90.4	0.0	11.4	政策疲労96.8、公平感欠損90.4、生活防衛57.0
17	21	76.67	19.3	19.2	78.5	0.0	0.0	43.8	56.2	16.5	15.0	45.6	3.7	0.0	17.9	6.3	100.0	96.8	89.5	0.0	11.4	政策疲労96.8、公平感欠損89.5、生活防衛45.6
18	21	76.67	19.1	19.0	79.5	0.0	0.0	49.4	50.6	20.8	13.0	50.0	4.0	0.0	14.7	6.3	100.0	97.5	90.4	0.0	5.7	政策疲労97.5、公平感欠損90.4、生活防衛50.0
19	21	76.67	19.1	19.6	79.1	0.0	0.0	58.1	41.9	12.7	15.7	51.1	3.0	0.0	14.4	6.2	100.0	97.4	90.1	0.0	5.7	政策疲労97.4、公平感欠損90.1、生活防衛51.1
20	21	76.67	18.5	19.1	79.2	0.0	0.0	53.8	46.2	15.3	12.9	54.4	3.5	0.0	8.3	6.1	100.0	98.2	91.0	0.0	0.0	政策疲労98.2、公平感欠損91.0、生活防衛54.4
21	21	76.67	19.1	19.9	79.5	0.0	0.0	53.8	46.2	14.8	12.4	55.5	3.6	0.0	10.9	6.4	100.0	98.2	90.7	0.0	5.7	政策疲労98.2、公平感欠損90.7、生活防衛55.5
22	21	76.67	19.3	20.7	79.5	0.0	0.0	53.8	46.2	18.4	9.8	54.1	0.0	0.0	12.7	6.4	100.0	98.0	91.1	0.0	5.7	政策疲労98.0、公平感欠損91.1、生活防衛54.1
23	21	76.67	18.3	19.5	79.9	0.0	0.0	49.4	50.6	19.3	11.5	50.1	0.0	0.0	14.2	10.4	100.0	98.5	91.1	0.0	4.3	政策疲労98.5、公平感欠損91.1、生活防衛50.1
24	22	80.35	18.9	19.5	79.8	0.0	0.0	44.2	55.8	25.9	11.8	47.3	0.0	0.0	12.5	6.3	100.0	97.8	90.5	0.0	15.0	政策疲労97.8、公平感欠損90.5、生活防衛47.3
25	22	80.35	17.7	18.4	80.7	0.0	0.0	49.7	50.3	19.0	16.3	59.2	0.4	0.0	8.9	6.2	100.0	97.7	91.1	0.0	15.0	政策疲労97.7、公平感欠損91.1、生活防衛59.2
26	22	80.35	16.4	17.2	80.9	0.0	0.0	49.7	50.3	22.2	15.1	56.8	0.0	0.0	5.1	6.1	100.0	97.9	91.6	0.0	19.2	政策疲労97.9、公平感欠損91.6、生活防衛56.8
27	22	80.35	17.1	18.0	80.7	0.0	0.0	49.7	50.3	22.0	13.0	54.8	0.0	0.0	11.7	6.1	100.0	97.7	91.5	0.0	15.0	政策疲労97.7、公平感欠損91.5、生活防衛54.8
28	22	80.35	16.9	18.2	79.8	0.0	0.0	49.7	50.3	24.0	12.1	53.4	0.0	0.0	8.4	6.2	100.0	97.9	91.4	0.0	9.6	政策疲労97.9、公平感欠損91.4、生活防衛53.4
29	22	80.35	16.5	17.7	80.3	0.0	0.0	49.7	50.3	24.5	19.9	57.1	0.0	0.0	2.4	6.1	100.0	97.9	91.2	0.0	9.6	政策疲労97.9、公平感欠損91.2、生活防衛57.1
30	22	80.35	16.3	17.1	80.5	0.0	0.0	49.7	50.3	23.4	9.5	58.4	0.0	0.0	6.8	6.1	100.0	98.3	91.2	0.0	9.6	政策疲労98.3、公平感欠損91.2、生活防衛58.4
31	22	80.35	17.8	18.9	80.0	0.0	0.0	49.7	50.3	24.6	12.1	37.0	0.0	0.0	19.8	6.0	100.0	97.7	90.5	0.0	15.0	政策疲労97.7、公平感欠損90.5、生活防衛37.0
32	22	80.35	18.8	19.5	80.5	0.0	0.0	49.7	50.3	23.3	15.1	37.8	0.0	0.0	24.2	6.2	100.0	97.8	90.2	0.0	15.0	政策疲労97.8、公平感欠損90.2、生活防衛37.8
33	22	80.35	18.6	19.0	79.4	0.0	0.0	51.7	48.3	26.6	14.9	44.9	0.4	0.0	9.6	6.2	100.0	98.1	90.3	0.0	15.0	政策疲労98.1、公平感欠損90.3、生活防衛44.9
34	22	80.35	18.4	19.3	79.3	0.0	0.0	51.7	48.3	29.2	16.6	37.8	0.4	0.0	16.2	6.2	100.0	98.0	89.9	0.0	10.9	政策疲労98.0、公平感欠損89.9、生活防衛37.8
35	22	80.35	18.6	19.9	78.7	0.0	0.0	49.7	50.3	32.8	13.7	36.8	0.0	0.0	10.5	9.8	100.0	98.2	90.4	0.0	16.4	政策疲労98.2、公平感欠損90.4、生活防衛36.8
36	22	80.35	18.9	20.0	76.9	0.0	0.0	58.0	42.0	25.2	15.7	40.8	0.4	0.0	10.7	9.9	100.0	98.0	89.7	0.0	10.9	政策疲労98.0、公平感欠損89.7、生活防衛40.8
