step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	side_effect_pressure	policy_fatigue_pressure	fairness_gap_pressure	coercion_pressure	fiscal_anxiety_pressure	feedback_summary
11	20	75.0	47.2	57.7	61.8	0.0	19.2	80.8	0.0	0.0	14.9	21.4	2.4	0.0	25.5	5.1	100.0	67.2	53.0	0.0	17.5	政策疲労67.2、公平感欠損53.0、情報過敏25.5
12	21	76.67	45.9	55.3	63.1	0.0	8.7	91.3	0.0	0.0	16.5	11.7	2.2	0.0	34.9	5.2	100.0	70.4	52.9	0.0	17.1	政策疲労70.4、公平感欠損52.9、情報過敏34.9
13	21	76.67	46.7	56.3	61.6	0.0	25.3	74.7	0.0	0.0	13.1	26.1	2.1	0.0	20.4	5.1	100.0	72.3	52.0	0.0	0.0	政策疲労72.3、公平感欠損52.0、生活防衛26.1
14	21	76.67	47.7	56.0	61.2	0.0	14.4	85.6	0.0	0.0	16.4	14.3	0.0	0.0	33.7	5.1	100.0	73.0	52.3	0.0	0.0	政策疲労73.0、公平感欠損52.3、情報過敏33.7
15	21	76.67	47.7	57.2	61.4	0.0	20.1	79.9	0.0	0.0	13.1	26.7	3.1	0.0	22.5	5.1	100.0	73.1	52.2	0.0	11.4	政策疲労73.1、公平感欠損52.2、生活防衛26.7
16	21	76.67	48.7	58.0	61.1	4.3	6.5	89.1	0.0	0.0	11.1	13.9	2.5	0.3	32.5	4.9	100.0	66.1	51.0	0.0	27.2	政策疲労66.1、公平感欠損51.0、情報過敏32.5
17	21	76.67	49.6	58.1	62.0	0.0	4.3	95.7	0.0	0.0	21.5	32.7	3.3	0.0	14.5	5.0	100.0	65.6	50.9	0.0	27.2	政策疲労65.6、公平感欠損50.9、生活防衛32.7
18	21	76.67	51.2	59.0	61.9	0.0	10.1	89.9	0.0	0.0	23.6	36.5	5.7	0.0	9.8	4.9	100.0	67.1	50.5	0.0	32.9	政策疲労67.1、公平感欠損50.5、生活防衛36.5
19	21	76.67	52.4	61.0	60.1	0.0	23.1	76.9	0.0	0.0	18.8	28.3	3.8	0.0	17.8	5.0	100.0	67.0	49.3	0.0	41.6	政策疲労67.0、公平感欠損49.3、生活防衛28.3
20	21	76.67	54.7	62.6	57.8	0.0	38.9	61.1	0.0	0.0	12.4	34.0	4.7	0.0	12.5	4.5	100.0	64.8	47.7	0.0	47.3	政策疲労64.8、公平感欠損47.7、生活防衛34.0
21	21	76.67	56.4	63.4	57.2	0.0	45.4	54.6	0.0	0.0	29.9	42.4	3.5	0.0	5.4	4.5	100.0	66.2	46.3	0.0	41.6	政策疲労66.2、公平感欠損46.3、生活防衛42.4
22	21	76.67	54.8	62.5	59.2	0.0	35.9	64.1	0.0	0.0	22.9	44.5	1.8	0.0	6.7	4.6	100.0	68.4	47.0	0.0	41.6	政策疲労68.4、公平感欠損47.0、生活防衛44.5
23	21	76.67	54.8	61.8	59.3	0.0	38.1	61.9	0.0	0.0	35.5	47.6	2.3	0.0	3.1	4.9	100.0	69.8	46.7	0.0	41.6	政策疲労69.8、生活防衛47.6、公平感欠損46.7
24	22	80.35	52.0	59.7	60.7	0.0	34.2	65.8	0.0	0.0	31.2	42.2	2.7	0.0	10.2	4.6	100.0	72.6	48.2	0.0	30.1	政策疲労72.6、公平感欠損48.2、生活防衛42.2
25	22	80.35	51.1	60.5	61.4	0.0	23.3	76.7	0.0	0.0	22.6	40.7	3.1	0.0	11.8	5.3	100.0	72.4	47.6	0.0	30.1	政策疲労72.4、公平感欠損47.6、生活防衛40.7
26	22	80.35	52.3	61.5	61.1	0.0	28.8	71.2	0.0	0.0	24.5	37.4	3.3	0.0	11.9	4.6	100.0	73.7	46.2	0.0	25.9	政策疲労73.7、公平感欠損46.2、生活防衛37.4
27	22	80.35	52.9	61.8	62.2	0.0	15.8	84.2	0.0	0.0	22.8	42.7	3.9	0.0	7.9	5.1	100.0	75.6	46.7	0.0	16.4	政策疲労75.6、公平感欠損46.7、生活防衛42.7
28	22	80.35	50.7	60.1	62.1	0.0	19.2	80.8	0.0	0.0	15.7	41.0	3.9	0.0	10.0	4.8	100.0	77.9	47.9	0.0	16.4	政策疲労77.9、公平感欠損47.9、生活防衛41.0
29	22	80.35	51.8	61.2	60.0	0.0	28.8	71.2	0.0	0.0	36.7	43.5	3.4	0.0	5.6	4.8	100.0	76.3	47.3	0.0	21.8	政策疲労76.3、公平感欠損47.3、生活防衛43.5
30	22	80.35	49.6	59.3	62.7	0.0	20.5	79.5	0.0	1.3	18.7	34.0	2.0	0.0	18.0	5.3	100.0	76.5	48.1	0.0	31.4	政策疲労76.5、公平感欠損48.1、生活防衛34.0
31	22	80.35	53.5	63.2	56.0	0.0	51.3	48.7	0.0	0.0	27.4	39.3	3.8	0.0	7.0	4.0	100.0	71.1	45.5	0.0	31.4	政策疲労71.1、公平感欠損45.5、生活防衛39.3
32	22	80.35	54.7	64.7	57.9	4.1	39.2	56.7	0.0	0.0	27.0	42.1	5.9	0.3	2.1	4.4	100.0	72.4	44.0	0.0	31.4	政策疲労72.4、公平感欠損44.0、生活防衛42.1
33	22	80.35	55.8	64.8	57.5	8.3	30.9	60.8	0.0	0.0	20.5	30.9	3.1	0.5	15.3	5.0	100.0	69.6	43.3	0.0	25.9	政策疲労69.6、公平感欠損43.3、生活防衛30.9
34	22	80.35	56.2	64.9	56.5	0.0	49.2	50.8	0.0	0.0	17.4	40.8	2.4	0.0	4.6	4.4	100.0	68.6	43.3	0.0	27.2	政策疲労68.6、公平感欠損43.3、生活防衛40.8
35	22	80.35	56.3	66.7	56.8	0.0	68.4	31.6	0.0	0.0	24.9	40.6	5.3	0.0	2.9	3.2	100.0	70.4	42.8	0.0	16.4	政策疲労70.4、公平感欠損42.8、生活防衛40.6
36	22	80.35	56.2	65.0	57.6	5.5	55.0	39.6	0.0	0.0	33.0	40.4	2.2	0.3	5.5	4.2	100.0	70.4	42.9	0.0	20.9	政策疲労70.4、公平感欠損42.9、生活防衛40.4
37	22	80.35	56.5	65.6	57.7	4.1	47.9	48.0	0.0	0.0	25.7	39.3	2.4	0.3	8.4	4.3	100.0	72.3	42.9	0.0	20.9	政策疲労72.3、公平感欠損42.9、生活防衛39.3
38	22	80.35	58.4	66.5	56.1	4.1	57.5	38.4	0.0	0.0	33.5	43.9	1.7	0.2	1.3	4.3	100.0	70.7	42.1	0.0	20.9	政策疲労70.7、生活防衛43.9、公平感欠損42.1
39	22	80.35	58.1	66.6	56.1	0.0	58.3	41.7	0.0	0.0	27.4	40.2	2.5	0.0	5.4	3.7	100.0	70.9	42.4	0.0	20.9	政策疲労70.9、公平感欠損42.4、生活防衛40.2
40	22	80.35	58.5	66.9	56.4	0.0	55.4	44.6	0.0	0.0	30.1	40.5	5.1	0.0	4.0	4.2	100.0	72.9	42.4	0.0	10.9	政策疲労72.9、公平感欠損42.4、生活防衛40.5
41	22	80.35	59.5	67.4	55.8	9.6	47.9	42.5	0.0	0.0	25.2	37.8	2.3	0.6	8.2	4.2	100.0	73.6	41.3	0.0	10.9	政策疲労73.6、公平感欠損41.3、生活防衛37.8
42	22	80.35	58.6	66.0	55.5	4.1	61.6	34.2	0.0	0.0	29.1	38.4	3.8	0.3	8.3	4.2	100.0	74.6	41.6	0.0	5.5	政策疲労74.6、公平感欠損41.6、生活防衛38.4
43	22	80.35	61.5	68.3	54.6	22.0	53.4	24.6	0.0	0.0	25.0	36.7	3.1	1.4	7.8	3.9	94.5	72.4	40.1	0.0	0.0	政策疲労72.4、公平感欠損40.1、生活防衛36.7
44	22	80.35	63.1	69.4	53.9	17.9	53.4	28.8	0.0	0.0	41.4	44.6	4.0	1.1	0.0	4.3	100.0	70.7	38.9	0.0	0.0	政策疲労70.7、生活防衛44.6、制度要求41.4
45	22	80.35	65.0	71.7	53.0	23.3	56.2	20.4	0.0	0.0	35.5	41.7	2.8	1.4	1.5	4.3	100.0	68.9	36.8	0.0	14.2	政策疲労68.9、生活防衛41.7、公平感欠損36.8
46	22	80.35	64.5	70.4	54.5	27.5	47.5	25.0	0.0	0.0	36.1	40.4	2.2	1.6	4.2	3.8	100.0	68.4	36.8	0.0	19.7	政策疲労68.4、生活防衛40.4、公平感欠損36.8
47	22	80.35	65.3	70.4	53.8	25.4	43.2	31.4	0.0	0.0	38.6	44.1	1.5	1.5	0.0	4.6	100.0	66.8	36.0	0.0	23.8	政策疲労66.8、生活防衛44.1、制度要求38.6
48	23	83.9	65.4	69.3	51.5	20.1	74.7	5.2	0.0	0.0	32.4	37.7	2.9	1.2	3.5	1.2	100.0	68.2	36.4	0.0	26.8	政策疲労68.2、生活防衛37.7、公平感欠損36.4
49	23	83.9	65.9	69.7	52.9	22.3	63.3	14.4	0.0	0.0	33.8	41.9	3.9	1.3	0.0	2.9	100.0	68.3	34.7	0.0	30.7	政策疲労68.3、生活防衛41.9、公平感欠損34.7
50	23	83.9	64.6	69.0	53.2	17.5	62.8	19.6	0.0	0.0	29.5	35.8	0.8	1.1	6.9	3.6	100.0	68.5	33.2	0.0	34.7	政策疲労68.5、生活防衛35.8、公平感欠損33.2
51	23	83.9	66.0	70.3	53.7	31.8	48.6	19.6	0.0	0.0	38.3	42.2	2.9	1.9	1.3	3.6	100.0	67.1	33.5	0.0	34.7	政策疲労67.1、生活防衛42.2、制度要求38.3
52	23	83.9	65.9	69.7	54.3	34.7	41.8	23.6	0.0	0.0	28.0	31.9	1.5	4.2	9.1	4.0	100.0	64.6	33.9	0.0	40.7	政策疲労64.6、公平感欠損33.9、生活防衛31.9
53	23	83.9	66.8	71.0	51.8	27.5	52.9	19.6	0.0	0.0	37.7	38.8	2.6	1.6	2.6	3.3	100.0	60.8	33.3	0.0	40.7	政策疲労60.8、生活防衛38.8、制度要求37.7
54	23	83.9	65.1	69.3	53.8	29.0	45.4	25.6	0.0	0.0	32.8	42.2	1.2	1.7	1.4	3.5	100.0	63.5	34.9	0.0	45.9	政策疲労63.5、生活防衛42.2、公平感欠損34.9
55	23	83.9	66.9	70.6	51.6	25.1	56.6	18.3	0.0	0.0	31.3	41.1	2.1	1.4	2.4	2.8	100.0	61.9	34.1	0.0	49.8	政策疲労61.9、生活防衛41.1、公平感欠損34.1
56	23	83.9	67.1	70.8	51.5	25.1	56.6	18.4	0.0	0.0	36.1	37.3	1.1	1.4	4.2	2.2	100.0	61.0	34.2	0.0	55.1	政策疲労61.0、生活防衛37.3、制度要求36.1
57	23	83.9	67.4	70.6	53.3	29.0	56.6	14.4	0.0	0.0	38.0	42.0	2.4	1.7	1.4	2.4	100.0	64.0	34.6	0.0	55.1	政策疲労64.0、生活防衛42.0、制度要求38.0
58	23	83.9	66.4	69.1	52.7	25.1	60.5	14.4	0.0	0.0	34.6	39.6	3.4	1.5	2.2	2.4	100.0	63.3	34.9	0.0	55.1	政策疲労63.3、生活防衛39.6、公平感欠損34.9
59	23	83.9	65.0	68.2	53.0	17.9	62.6	19.6	0.0	0.0	30.9	31.7	6.5	1.1	7.2	3.8	100.0	62.6	36.1	0.0	49.8	政策疲労62.6、公平感欠損36.1、生活防衛31.7
60	23	83.9	65.5	69.5	53.2	21.5	56.9	21.6	0.0	0.0	38.7	42.6	3.0	1.3	1.5	3.7	100.0	61.1	36.2	0.0	63.3	政策疲労61.1、生活防衛42.6、制度要求38.7
61	24	87.35	69.1	72.4	51.0	33.6	57.6	8.8	0.0	0.0	43.8	41.1	2.0	2.0	1.1	1.3	100.0	58.2	34.5	0.0	61.9	政策疲労58.2、制度要求43.8、生活防衛41.1
62	24	87.35	70.5	73.8	50.3	47.0	53.0	0.0	0.0	0.0	40.8	41.2	2.7	2.9	1.2	0.0	100.0	59.3	33.7	0.0	65.8	政策疲労59.3、生活防衛41.2、制度要求40.8
63	25	90.7	71.5	74.4	50.7	46.5	53.5	0.0	0.0	0.0	35.6	37.5	1.8	2.9	2.5	0.0	100.0	56.1	32.9	0.0	71.8	政策疲労56.1、生活防衛37.5、制度要求35.6
64	25	90.7	72.1	74.6	50.7	50.2	49.8	0.0	0.0	0.0	41.4	40.6	2.2	3.2	0.0	0.0	100.0	56.9	32.3	0.0	75.5	政策疲労56.9、制度要求41.4、生活防衛40.6
65	26	93.9	72.3	74.3	50.9	56.6	43.4	0.0	0.0	0.0	39.6	40.8	2.4	3.5	0.0	0.0	100.0	58.4	32.8	0.0	80.0	政策疲労58.4、生活防衛40.8、制度要求39.6
66	28	100.0	69.3	70.9	50.7	37.7	52.9	9.4	0.0	0.0	33.8	37.6	1.9	2.3	4.5	1.0	100.0	58.4	35.2	0.0	81.2	政策疲労58.4、生活防衛37.6、公平感欠損35.2
67	28	100.0	68.8	70.2	51.0	37.8	54.4	7.7	0.0	0.0	33.4	33.1	2.5	2.4	10.1	0.9	100.0	58.9	36.1	0.0	80.2	政策疲労58.9、公平感欠損36.1、制度要求33.4
68	28	100.0	68.2	68.7	52.1	40.0	49.0	11.1	0.0	0.0	30.9	33.9	2.4	2.6	8.2	1.3	100.0	62.0	37.0	0.0	73.5	政策疲労62.0、公平感欠損37.0、生活防衛33.9
69	28	100.0	67.0	67.5	51.6	33.3	49.0	17.7	0.0	0.0	30.2	27.6	2.7	2.2	14.2	1.3	100.0	62.4	38.2	0.0	77.9	政策疲労62.4、公平感欠損38.2、制度要求30.2
70	28	100.0	66.2	67.1	49.9	34.3	50.4	15.4	0.0	0.0	28.9	32.7	0.6	2.1	8.1	2.1	100.0	59.1	38.1	0.0	85.6	政策疲労59.1、公平感欠損38.1、生活防衛32.7
71	28	100.0	65.0	66.5	48.4	21.4	63.1	15.5	0.0	0.0	26.4	29.4	2.3	2.8	9.4	0.8	100.0	58.3	38.9	0.0	85.6	政策疲労58.3、公平感欠損38.9、生活防衛29.4
