イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
OE003	3	組織判断	企業・組織の採用育成判断	0.46	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、中途はBCP/省電力運用を増枠 / 首都圏業務支援株式会社: 新卒は最小枠維持、BCP/AI監督の中途を増やす / さくら在宅ケア株式会社: 新卒少数継続、資格者・復職者・紹介を優先	未来通信システム株式会社: 厳選採用で不安増、研修拡充で定着は改善 / 首都圏業務支援株式会社: 安心対応・監督スキルの入口増、汎用事務は縮小不安 / さくら在宅ケア株式会社: 待遇不安は残るが資格支援で参入障壁が下がる 現役側には 未来通信システム株式会社: 省電力運用と危機対応の再学習負荷が上昇 / 首都圏業務支援株式会社: 配置転換と監督責任増、再学習負荷と評価不安が上がる / さくら在宅ケア株式会社: 省力化で負担減、再配置と賃金停滞不満が増える
PL002_01	3	政策探索	ワンストップ即時予約+待ち時間平準化	0.60	妊娠前後〜0歳の世帯/家族形成検討中（特に手続き離脱・待ち時間で諦める層）	手続き摩擦↓ 受給体験↑ 制度信頼↑ 政策疲労↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧70.6と公平感欠損52.5が高く、対象外反発と手続き疲れが注意層を固定化。	制度はあるのに予約や手続きで詰まり、結局自己責任に戻される感じがする。
PL002_02	3	政策探索	社会維持活動nat報酬（対象外反発緩衝）	0.50	未婚/非出産選択者、介護・地域活動・防災・学習支援など社会維持を担う層、現役納税層	公平感↑ 対象外反発↓ 制度信頼↑ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧70.6と公平感欠損52.5が高く、対象外反発と手続き疲れが注意層を固定化。	子どもを持つ/持たないに関係なく、社会に必要な役割が正当に扱われている実感がほしい。
PL003_02	3	政策探索	補償→支援の順に並べ替え（対象外反発緩衝を先行）	0.55	対象外感が強い層（未婚・非出産選択者、参加困難層、現役納税層）と支援利用検討層	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が突出し、公平感欠損と政策疲労で離脱・反発が起点になっている	自分が当事者じゃない制度に見えると、協力する気持ちが先に折れる
WE007	3	世界イベント	エネルギー価格ショック	0.20	全体	生活コスト↑ 子ども意向↓	エネルギー価格圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.7。	エネルギー圧力が高く、家計と移動・電気代への不安が増える。
WE008	3	世界イベント	半導体・計算資源制約	0.20	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.7。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。
WE009	3	世界イベント	供給網不安拡大の悪化	0.41	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.7。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE010	3	世界イベント	地政学SNS不安拡散の悪化	0.25	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.7。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE011	3	制度制約	財政制約による支援遅れ	0.22	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ3: 地政学リスクが71.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.7。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。
FB004	4	社会反応	生活防衛シフト	0.43	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労54.3、公平感欠損52.0、生活防衛27.7	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB004	4	社会反応	生活防衛シフト	0.43	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労54.3、公平感欠損52.0、生活防衛27.7	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE004	4	組織判断	企業・組織の採用育成判断	0.44	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	首都圏業務支援株式会社: 新卒は最小維持、BCP運用・顧客折衝の中途増 / さくら在宅ケア株式会社: 新卒は少数維持、資格者・復職者・紹介を優先採用 / 未来通信システム株式会社: 新卒は厳選維持、中途は省電力運用/危機対応を増枠	首都圏業務支援株式会社: 新卒枠細り不安増、AI監督スキルで差がつく / さくら在宅ケア株式会社: 資格取得志向↑、ただし生活コスト不安で応募迷いが増える / 未来通信システム株式会社: 生活費不安下で安定志向↑、AI運用職は機会増も競争強化 現役側には 首都圏業務支援株式会社: 運用標準化で負荷は減るが再訓練と役割転換が増 / さくら在宅ケア株式会社: 賃上げ難で疲弊↑、省力化で負担は一部軽減する / 未来通信システム株式会社: 電力/供給不安対応で負荷↑、再訓練で転機は増える
PL003_01	4	政策探索	申請・監査の二重化解消ミニマム運用	0.60	注意層（制度不信/手続き離脱/現役納税層、未婚・非出産選択者含む）	政策疲労↓ 手続き摩擦↓ 反発連鎖↓ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が突出し、公平感欠損と政策疲労で離脱・反発が起点になっている	支援は増えたのに手続きと説明が重くて、結局損しそうに感じる
WE012	4	世界イベント	エネルギー価格ショックの悪化	0.32	全体	生活コスト↑ 子ども意向↓	エネルギー価格圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: 地政学リスクが73.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は40.4。	エネルギー圧力が高く、家計と移動・電気代への不安が増える。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE013	4	制度制約	財政制約による支援遅れの悪化	0.39	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ4: 地政学リスクが73.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は40.4。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB005	5	社会反応	生活防衛シフト	0.26	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労57.0、公平感欠損54.2、情報過敏27.0	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB005	5	社会反応	生活防衛シフト	0.26	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労57.0、公平感欠損54.2、情報過敏27.0	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB006	5	社会反応	情報過敏の拡大	0.29	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労57.0、公平感欠損54.2、情報過敏27.0	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB006	5	社会反応	情報過敏の拡大	0.29	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労57.0、公平感欠損54.2、情報過敏27.0	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE005	5	組織判断	企業・組織の採用育成判断	0.45	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒厳選維持、中途は調達/BCP/省エネ運用を増枠 / 首都圏業務支援株式会社: 新卒は最小維持、供給網対応の中途を増やす / さくら在宅ケア株式会社: 新卒は少数、資格者・復職者・紹介を厚く採用	未来通信システム株式会社: AI運用/危機対応スキル重視で選別圧と格差が拡大 / 首都圏業務支援株式会社: 即戦力偏重で入口が狭まり、不安と格差が増える / さくら在宅ケア株式会社: 資格取得の支援が増える一方、配属不安は残る 現役側には 未来通信システム株式会社: 省エネ運用・調達リスク対応へ再学習と職務転換が増加 / 首都圏業務支援株式会社: 省人化で単純業務縮小、監督・折衝へ再配置圧力 / さくら在宅ケア株式会社: 省力化で負担は軽減、機器対応の学習負担が増える
PL004_01	5	政策探索	副作用監査・異議申立の高速化SLA+要点説明	0.62	全住民（特に制度不信・現役納税層、未婚/非出産選択者、注意層）	制度信頼↑ 政策疲労↓ 対象外反発↓ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が極端に高く、公平感欠損と政策疲労が注意層を固定化している	制度は増えるのに不都合が起きたときに誰も早く助けてくれない気がする
PL004_02	5	政策探索	産後休息・代替ケア48時間パッケージ（予約連動）	0.58	妊娠後期〜産後6か月の世帯（単親・低支援・復職予定を優先）	ケア負担↓ 生活防衛↑ 制度信頼↑ 家族形成の継続意欲↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が極端に高く、公平感欠損と政策疲労が注意層を固定化している	子どもは欲しいけど、産後に倒れたら詰むという不安が一番大きい
PL005_02	5	政策探索	三層メッセージ+非強制ワンタップ要約	0.58	全住民（特に情報過敏は低いが疲労が高い注意層）	政策疲労↓ 誤解↓ 監視懸念↓ 異議申立の利用容易性↑ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大で、説明過多と処理滞留が政策疲労・公平感欠損を増幅し注意層が固定化。	結局どこが自分に関係あるのかを短く知りたいのに、長い説明ばかりで追えない。
WE014	5	世界イベント	半導体・計算資源制約の悪化	0.34	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ5: 供給網不安が78.2。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は37.6。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE015	5	世界イベント	供給網不安拡大の悪化	0.63	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ5: 供給網不安が78.2。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は37.6。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB007	6	社会反応	情報過敏の拡大	0.44	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労58.7、公平感欠損55.5、情報過敏35.2	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB007	6	社会反応	情報過敏の拡大	0.44	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労58.7、公平感欠損55.5、情報過敏35.2	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE006	6	組織判断	企業・組織の採用育成判断	0.42	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、中途は省エネ運用/調達/BCPを増枠 / さくら在宅ケア株式会社: 新卒は最小限、資格者・復職者・紹介を厚めに確保 / 首都圏業務支援株式会社: 新卒は最小維持、危機対応の中途を増やす	未来通信システム株式会社: 採用は狭いが省エネ運用/危機対応スキルの学習動機が増す / さくら在宅ケア株式会社: 早期戦力期待は上がるが、支援が見えると定着が改善 / 首都圏業務支援株式会社: 新卒枠が絞られ、即戦力化圧力が強まる 現役側には 未来通信システム株式会社: 再訓練圧力は強いが配置転換で失職リスクは抑えられる / さくら在宅ケア株式会社: 負担分散で疲弊は緩和、AI/ロボ運用の兼務が増える / 首都圏業務支援株式会社: 現場は省人化と品質責任の板挟みで負荷増
PL005_01	6	政策探索	補償・監査先行の一本化導線	0.62	注意層（制度不信/現役納税/未婚・非出産選択者/参加困難層）＋支援検討層	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑ 政策疲労↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大で、説明過多と処理滞留が政策疲労・公平感欠損を増幅し注意層が固定化。	物価と将来不安が強いのに、制度は複雑で自分は対象外にされる気がして距離を置きたくなる。
WE016	6	世界イベント	供給網不安拡大の高止まり	0.63	全体	物価不安↑ 雇用安定↓ 慢性負荷↑	供給網不安	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ6: 供給網不安が78.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は34.1。	供給網の不安定化により、物価と企業採用への不安が残る。 新しい事件というより、高い不安が続いて疲労感を生む。
WE017	6	制度制約	財政制約による支援遅れの高止まり	0.67	全体	制度信頼↓ 裏切られ感↑ 慢性負荷↑	日本社会状態	日本	ステップ6: 供給網不安が78.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は34.1。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。 新しい事件というより、高い不安が続いて疲労感を生む。
FB008	7	社会反応	生活防衛シフト	0.35	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労63.3、公平感欠損56.8、情報過敏31.7	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB008	7	社会反応	生活防衛シフト	0.35	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労63.3、公平感欠損56.8、情報過敏31.7	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB009	7	社会反応	情報過敏の拡大	0.37	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労63.3、公平感欠損56.8、情報過敏31.7	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB009	7	社会反応	情報過敏の拡大	0.37	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労63.3、公平感欠損56.8、情報過敏31.7	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE007	7	組織判断	企業・組織の採用育成判断	0.45	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	さくら在宅ケア株式会社: 新卒は抑制、資格者・復職者・紹介を厚めに確保 / 未来通信システム株式会社: 新卒は厳選維持、中途は調達/BCP/省エネ運用を増枠 / 首都圏業務支援株式会社: 新卒は最小維持、供給網対応の中途を増やす	さくら在宅ケア株式会社: 教育は手厚いが現場負荷が残り、離職不安が続く / 未来通信システム株式会社: 省エネ運用・危機対応系の配属増、汎用開発志向は競争激化 / 首都圏業務支援株式会社: 即戦力化圧が増え、育成の標準化で伸びは二極化 現役側には さくら在宅ケア株式会社: 省力化で負担は下がるが機器・AI運用負荷が増える / 未来通信システム株式会社: 運用/調達/BCPへ再配置が進み、賃上げは役割転換と連動 / 首都圏業務支援株式会社: 配置転換とAI監督への移行が進み負荷が上がる
PL006_01	7	政策探索	監査・異議・要点説明の単一窓口+通知上限	0.62	注意層（制度不信/現役納税/未婚・非出産選択者/手続き離脱）	政策疲労↓ 誤解↓ 対象外反発↓ 制度信頼↑ 異議申立の到達性↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大で、政策疲労と公平感欠損が固定化。供給制約下で待ち・格差が反発を増幅。	物価と雇用の不安が強いのに、制度は複雑で監視されそうで関わるほど疲れる。
PL006_02	7	政策探索	産後48時間パッケージの需給調整（優先枠+代替メニュー）	0.58	妊娠後期〜産後6か月（単親・低支援・復職予定を優先）と利用困難層	待ち時間↓ ケア負担↓ 生活防衛↑ 制度信頼↑ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大で、政策疲労と公平感欠損が固定化。供給制約下で待ち・格差が反発を増幅。	子どもは欲しい気持ちはあっても、産後の支援が待ちだらけなら現実的に踏み出せない。
FB010	8	社会反応	生活防衛シフト	0.69	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労67.2、公平感欠損59.0、生活防衛42.3	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB010	8	社会反応	生活防衛シフト	0.69	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労67.2、公平感欠損59.0、生活防衛42.3	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE008	8	組織判断	企業・組織の採用育成判断	0.53	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、中途は運用・調達・危機対応を増枠 / 首都圏業務支援株式会社: 新卒は小枠維持、危機対応とAI運用の中途を増やす / さくら在宅ケア株式会社: 新卒は少数継続、資格者・復職者を紹介網で確保	未来通信システム株式会社: 選別不安が増す一方、基礎運用技能の見通しは上がる / 首都圏業務支援株式会社: 安定志向が強まり応募は増えるが、選考厳格化で不安も拡大 / さくら在宅ケア株式会社: 雇用不安が強まり定着揺れ、資格取得支援が安心材料に 現役側には 未来通信システム株式会社: 再学習圧と配置転換が増加、雇用は維持寄りで安心感も / 首都圏業務支援株式会社: AI監督/対顧説明の負担増、雇用は維持寄りだが再配置が進む / さくら在宅ケア株式会社: 現場はAI/ロボ不信が出やすく、負担減の実感が鍵になる
PL007_01	8	政策探索	通知上限+選択式ダッシュボード（異議・監査一本化）	0.65	注意層（制度不信/現役納税/未婚・非出産選択者/手続き離脱）	政策疲労↓ 誤解↓ 対象外反発↓ 制度信頼↑ 異議申立到達性↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100と政策疲労63が支配的。支援の中身より「窓口/通知/異議処理」の摩擦が不信と対象外反発を増幅。	支援が増えても何が自分に関係あるか分からず、通知と手続きで疲れて距離を置きたくなる。
PL007_02	8	政策探索	参加困難者向け社会維持natの「代替ルート」	0.50	社会維持に関与したいが参加が難しい層（介護・疾病・多忙・地方移動困難）＋対象外感が強い層	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100と政策疲労63が支配的。支援の中身より「窓口/通知/異議処理」の摩擦が不信と対象外反発を増幅。	子育て支援は理解するけど、自分の生活が苦しい時に『自分は対象外』と感じると政策全体に反発したくなる。
WE018	8	世界イベント	AI雇用不安増幅の悪化	0.55	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ8: SNS不安増幅が80.9。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は29.6。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB011	9	社会反応	情報過敏の拡大	0.36	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労64.2、公平感欠損56.4、情報過敏30.8	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB011	9	社会反応	情報過敏の拡大	0.36	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労64.2、公平感欠損56.4、情報過敏30.8	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE009	9	組織判断	企業・組織の採用育成判断	0.52	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	首都圏業務支援株式会社: 新卒小枠維持、中途は危機対応・AI運用中心に厳選増 / さくら在宅ケア株式会社: 新卒は少数維持、資格者・復職者を紹介網で確保強化 / 桐野市産業雇用課: 採用補助は維持。SNS誤情報対策と説明会を条件化	首都圏業務支援株式会社: 職の先行き不安は残るが、説明・監督スキルの入口は増える / さくら在宅ケア株式会社: 将来不安は残るが、説明強化で安心感と定着がやや改善 / 桐野市産業雇用課: 不安は高止まり。相談導線が効けば離職・回避は減る 現役側には 首都圏業務支援株式会社: 不安対応と運用責任が増し、負荷と再学習圧力が上がる / さくら在宅ケア株式会社: 現場の負荷は軽減するが、物価高で賃金不満が残りやすい / 桐野市産業雇用課: 再配置と学び直し圧力増。手続透明化で反発は抑制
PL008_01	9	政策探索	通知上限の強制デフォルト+重要情報の二段階提示	0.60	注意層（制度不信/現役納税/未婚・非出産選択者/手続き離脱）	政策疲労↓ 誤解↓ 監視懸念↓ 制度信頼↑ 異議申立到達性↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100で監視懸念と通知過多が臨界、政策疲労と公平感欠損が反発を増幅。	不安情報が多すぎて、制度の通知も『監視と負担』に感じてしまう。
