step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	side_effect_pressure	policy_fatigue_pressure	fairness_gap_pressure	coercion_pressure	fiscal_anxiety_pressure	feedback_summary
24	22	80.35	34.2	45.2	69.0	0.0	0.0	100.0	0.0	0.0	6.8	42.4	0.3	0.0	17.5	5.8	100.0	75.6	57.9	0.0	12.5	政策疲労75.6、公平感欠損57.9、生活防衛42.4
25	22	80.35	32.7	45.4	70.0	0.0	0.0	94.5	5.5	2.0	6.4	31.2	0.0	0.0	26.0	5.8	100.0	75.7	57.5	0.0	12.9	政策疲労75.7、公平感欠損57.5、生活防衛31.2
26	22	80.35	33.1	46.4	68.9	0.0	4.1	90.4	5.5	1.9	11.1	36.5	2.6	0.0	19.4	5.8	100.0	77.7	57.3	0.0	8.7	政策疲労77.7、公平感欠損57.3、生活防衛36.5
27	22	80.35	34.3	47.8	69.2	0.0	0.0	94.5	5.5	1.8	9.4	38.6	0.0	0.0	17.5	5.7	100.0	78.0	52.9	0.0	0.0	政策疲労78.0、公平感欠損52.9、生活防衛38.6
28	22	80.35	36.2	48.0	68.3	0.0	0.0	100.0	0.0	0.0	8.7	43.6	0.0	0.0	13.0	5.6	100.0	78.5	52.9	0.0	4.1	政策疲労78.5、公平感欠損52.9、生活防衛43.6
29	22	80.35	36.3	48.3	67.8	0.0	0.0	100.0	0.0	0.0	9.3	33.4	0.3	0.0	22.0	5.7	100.0	79.0	51.1	0.0	5.5	政策疲労79.0、公平感欠損51.1、生活防衛33.4
30	22	80.35	33.6	44.6	70.4	0.0	0.0	100.0	0.0	0.0	11.4	32.8	2.4	0.0	19.6	5.8	100.0	81.6	53.9	0.0	5.5	政策疲労81.6、公平感欠損53.9、生活防衛32.8
31	22	80.35	34.1	45.7	67.8	0.0	0.0	100.0	0.0	0.0	8.7	4.6	2.9	0.0	43.9	5.5	100.0	77.0	55.3	0.0	0.0	政策疲労77.0、公平感欠損55.3、情報過敏43.9
32	22	80.35	33.2	45.6	68.6	0.0	0.0	100.0	0.0	3.6	6.2	22.7	5.1	0.0	23.5	5.6	100.0	78.5	55.2	0.0	0.0	政策疲労78.5、公平感欠損55.2、情報過敏23.5
33	22	80.35	34.3	47.3	66.3	0.0	0.0	100.0	0.0	0.0	5.9	31.1	2.4	0.0	19.1	5.5	100.0	72.2	55.3	0.0	10.9	政策疲労72.2、公平感欠損55.3、生活防衛31.1
34	22	80.35	35.0	50.5	65.6	0.0	0.0	100.0	0.0	0.0	8.9	26.8	4.3	0.0	19.3	5.3	100.0	70.7	55.4	0.0	10.9	政策疲労70.7、公平感欠損55.4、生活防衛26.8
35	22	80.35	32.3	47.6	68.3	0.0	0.0	100.0	0.0	0.0	6.0	27.2	4.6	0.0	21.5	5.5	100.0	74.4	58.2	0.0	7.5	政策疲労74.4、公平感欠損58.2、生活防衛27.2
36	22	80.35	33.5	49.2	67.8	0.0	0.0	100.0	0.0	0.0	11.1	22.3	2.1	0.0	26.5	5.5	100.0	74.9	57.1	0.0	7.5	政策疲労74.9、公平感欠損57.1、情報過敏26.5
37	22	80.35	36.7	52.8	65.7	0.0	5.5	94.5	0.0	0.0	6.3	36.9	2.4	0.0	13.4	5.5	100.0	72.2	53.9	0.0	13.0	政策疲労72.2、公平感欠損53.9、生活防衛36.9
38	22	80.35	35.5	52.1	67.0	0.0	4.1	95.9	0.0	0.0	8.5	22.4	4.2	0.0	25.8	5.3	100.0	73.0	55.5	0.0	13.0	政策疲労73.0、公平感欠損55.5、情報過敏25.8
39	22	80.35	32.3	47.4	70.1	0.0	4.1	85.0	10.9	3.8	4.6	27.4	6.7	0.0	21.3	5.7	100.0	76.8	57.0	0.0	10.9	政策疲労76.8、公平感欠損57.0、生活防衛27.4
40	22	80.35	34.7	50.1	67.2	0.0	13.7	80.8	5.5	1.8	5.4	24.5	2.4	0.0	27.3	5.6	100.0	74.9	53.5	0.0	10.9	政策疲労74.9、公平感欠損53.5、情報過敏27.3
41	22	80.35	34.0	50.1	67.8	0.0	8.3	91.7	0.0	0.0	13.7	33.2	1.9	0.0	18.8	5.5	100.0	74.5	53.9	0.0	17.1	政策疲労74.5、公平感欠損53.9、生活防衛33.2
42	22	80.35	34.1	50.2	67.5	0.0	8.3	91.7	0.0	0.0	10.6	28.3	4.3	0.0	21.8	5.4	100.0	75.5	55.3	0.0	22.6	政策疲労75.5、公平感欠損55.3、生活防衛28.3
43	22	80.35	37.1	52.4	65.6	0.0	13.7	86.3	0.0	0.0	13.6	28.1	2.5	0.0	18.6	8.7	100.0	74.7	53.1	0.0	13.0	政策疲労74.7、公平感欠損53.1、生活防衛28.1
44	22	80.35	40.0	54.5	62.0	0.0	19.2	75.4	5.5	1.9	13.0	23.7	2.2	0.0	22.2	4.9	100.0	68.9	50.5	0.0	17.1	政策疲労68.9、公平感欠損50.5、生活防衛23.7
45	22	80.35	43.3	57.6	56.9	0.0	36.2	58.3	5.5	1.8	13.1	20.6	1.4	0.0	21.0	5.2	91.3	61.3	47.8	0.0	15.8	政策疲労61.3、公平感欠損47.8、情報過敏21.0
46	22	80.35	41.1	51.6	62.9	0.0	15.0	79.5	5.5	1.7	8.3	23.7	2.9	0.0	22.0	5.4	100.0	66.9	51.3	0.0	17.1	政策疲労66.9、公平感欠損51.3、生活防衛23.7
47	22	80.35	43.9	55.1	59.9	0.0	22.0	72.5	5.5	1.7	6.1	14.0	0.3	0.0	31.8	5.1	95.9	61.4	47.1	0.0	17.1	政策疲労61.4、公平感欠損47.1、情報過敏31.8
48	23	83.9	44.6	53.5	60.1	0.0	25.5	74.5	0.0	0.0	10.0	26.1	0.4	0.0	21.9	4.8	100.0	62.0	46.4	0.0	16.4	政策疲労62.0、公平感欠損46.4、生活防衛26.1
49	23	83.9	44.5	55.1	59.5	0.0	15.9	84.1	0.0	0.0	5.9	19.8	0.0	0.0	27.0	4.9	100.0	60.7	45.8	0.0	20.8	政策疲労60.7、公平感欠損45.8、情報過敏27.0
50	23	83.9	44.1	57.3	59.6	0.0	17.1	82.9	0.0	0.0	5.2	29.9	0.2	0.0	17.1	4.8	100.0	59.1	43.2	0.0	16.4	政策疲労59.1、公平感欠損43.2、生活防衛29.9
51	23	83.9	42.6	54.6	61.4	0.0	15.9	84.1	0.0	0.0	1.8	14.7	0.3	0.0	32.7	5.0	100.0	60.8	45.6	0.0	21.6	政策疲労60.8、公平感欠損45.6、情報過敏32.7
52	23	83.9	44.3	58.2	61.0	0.0	11.9	88.1	0.0	0.0	6.8	14.5	0.0	0.0	33.0	5.0	100.0	59.6	42.7	0.0	21.6	政策疲労59.6、公平感欠損42.7、情報過敏33.0
53	23	83.9	45.4	58.1	61.6	0.0	4.0	96.0	0.0	0.0	11.0	17.7	0.0	0.0	30.7	4.9	100.0	61.3	42.5	0.0	21.6	政策疲労61.3、公平感欠損42.5、情報過敏30.7
54	23	83.9	43.9	53.9	62.0	0.0	0.0	100.0	0.0	0.0	4.4	27.5	2.0	0.0	19.8	4.9	100.0	58.4	45.6	0.0	41.9	政策疲労58.4、公平感欠損45.6、生活防衛27.5
55	23	83.9	44.2	55.6	61.3	0.0	13.2	86.8	0.0	0.0	6.5	17.7	0.9	0.0	30.8	4.5	100.0	59.0	45.2	0.0	38.0	政策疲労59.0、公平感欠損45.2、情報過敏30.8
56	23	83.9	46.6	58.7	58.0	0.0	31.5	68.5	0.0	0.0	11.0	18.4	0.0	0.0	26.5	4.2	100.0	57.8	42.4	0.0	26.8	政策疲労57.8、公平感欠損42.4、情報過敏26.5
57	23	83.9	44.9	57.2	61.3	0.0	18.8	81.2	0.0	0.0	14.2	22.6	0.0	0.0	25.6	4.4	100.0	60.1	42.5	0.0	22.8	政策疲労60.1、公平感欠損42.5、情報過敏25.6
58	23	83.9	42.9	53.7	63.5	0.0	13.2	86.8	0.0	0.0	7.6	23.4	0.5	0.0	26.5	5.2	100.0	63.7	44.4	0.0	24.0	政策疲労63.7、公平感欠損44.4、情報過敏26.5
59	23	83.9	44.0	53.6	63.1	0.0	7.9	92.1	0.0	0.0	11.3	16.3	2.4	0.0	31.4	5.1	100.0	64.9	44.4	0.0	24.0	政策疲労64.9、公平感欠損44.4、情報過敏31.4
60	23	83.9	43.2	53.5	62.6	0.0	4.0	96.0	0.0	0.0	15.0	22.1	0.2	0.0	25.4	5.1	100.0	66.7	44.5	0.0	28.0	政策疲労66.7、公平感欠損44.5、情報過敏25.4
61	24	87.35	45.2	54.5	59.9	0.0	16.5	83.5	0.0	0.0	17.6	19.5	0.0	0.0	27.9	4.5	96.2	65.9	44.9	0.0	13.8	政策疲労65.9、公平感欠損44.9、情報過敏27.9
62	24	87.35	46.9	56.2	57.3	0.0	34.1	65.9	0.0	0.0	14.9	19.9	0.0	0.0	24.8	4.4	96.2	64.7	43.8	0.0	13.8	政策疲労64.7、公平感欠損43.8、情報過敏24.8
63	25	90.7	50.3	59.5	53.0	0.0	49.1	50.9	0.0	0.0	8.6	20.3	0.0	0.0	20.9	3.6	92.3	60.2	40.4	0.0	17.0	政策疲労60.2、公平感欠損40.4、情報過敏20.9
64	25	90.7	52.0	60.8	52.0	0.0	51.9	48.1	0.0	0.0	7.7	20.9	0.0	0.0	19.8	2.5	96.3	58.0	38.5	0.0	21.8	政策疲労58.0、公平感欠損38.5、生活防衛20.9
65	26	93.9	50.0	59.0	55.5	0.0	40.4	59.6	0.0	0.0	3.0	20.0	0.0	0.0	22.4	2.4	96.5	57.4	39.1	0.0	33.9	政策疲労57.4、公平感欠損39.1、情報過敏22.4
66	28	100.0	51.3	59.1	55.4	0.0	47.0	53.0	0.0	0.0	13.7	18.2	0.0	0.0	24.8	3.3	100.0	53.5	37.2	0.0	50.5	政策疲労53.5、公平感欠損37.2、情報過敏24.8
67	28	100.0	51.4	61.2	54.4	0.0	54.9	45.1	0.0	0.0	12.7	15.4	0.0	0.0	26.7	2.7	89.5	51.1	33.5	0.0	68.6	政策疲労51.1、公平感欠損33.5、情報過敏26.7
68	28	100.0	54.4	64.5	50.9	3.3	77.6	19.1	0.0	0.0	8.5	19.0	0.0	1.5	19.8	1.9	93.9	48.9	30.1	0.0	68.6	政策疲労48.9、公平感欠損30.1、情報過敏19.8
69	28	100.0	54.8	65.8	50.2	3.3	77.6	19.1	0.0	0.0	6.8	13.9	0.0	1.6	24.4	1.7	96.9	47.6	28.6	0.0	71.8	政策疲労47.6、公平感欠損28.6、情報過敏24.4
70	28	100.0	52.2	65.0	53.3	0.0	48.5	51.5	0.0	0.0	7.8	18.6	1.4	1.3	20.8	3.0	100.0	48.6	30.0	0.0	79.5	政策疲労48.6、公平感欠損30.0、情報過敏20.8
71	28	100.0	53.9	66.0	49.8	0.0	73.4	26.6	0.0	0.0	10.5	27.7	1.3	1.3	10.8	1.7	100.0	46.9	29.1	0.0	79.5	政策疲労46.9、公平感欠損29.1、生活防衛27.7
