step	planner_id	scenario_mode	model	diagnosis	policy_count	total_budget_cost_0to1	dominant_issue	adjustment_strategy
19	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	政策疲労と副作用圧が極大。通知・手続き過多と対象外感が不信を増幅し、財政圧力下で分断が進行。	2	0.28	政策疲労	増やさず束ねて不信を減衰
20	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が最大で政策疲労も高止まり。SNS不安増幅下で手続き・説明負荷が信頼を削る。	2	0.36	政策疲労	増やさず整える二段再設計
21	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧94と政策疲労74が突出。追加より「減らす/まとめる/異議導線」を強化し不信の増幅を止める。	2	0.16	政策疲労	監査・申立の先行一本化と負荷削減
22	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労73が最優先。給付拡大より、根拠提示・異議申立・条件調整で反発と不信を止血。	2	0.40	政策疲労	副作用止血＋条件の再定義
23	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が限界域で、説明・監査は進んだが政策疲労と不安増幅が残存。	2	0.36	政策疲労	増やさず整理＋副作用低減
24	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大で不信と政策疲労が臨界。説明と運用差縮小で鎮静化が先。	2	0.38	政策疲労	説明先行・運用負荷の整流
25	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が飽和し、手続き疲れと公平感欠損がSNS不安で増幅。拡大より誤読防止と運用摩擦低減が急務。	2	0.30	政策疲労	説明優先・摩擦削減
26	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労75.7が最優先。基準変更は進んだがSNS不安下で誤読・不正認知が再燃しやすい。	2	0.32	政策疲労	拡張抑制＋監査・申立ての信頼補強
27	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大のまま、基準公開が切り取り炎上→不信と疲労が固定化。	2	0.36	政策疲労	切り取り耐性と負荷逃がし
28	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大で不安増幅と政策疲労が固定化、境界層の不公平感が再点火しやすい	2	0.57	政策疲労	負荷分散×不公平感封じ
29	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	不安増幅下で副作用圧が飽和し、基準公開・救済の正当性説明が追いつかず政策疲労が固定化。	2	0.38	政策疲労	副作用制御の先出し統合
30	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大で政策疲労も高い。新規拡大より情報負荷の減衰と参加不能層の穴埋めが先。	2	0.40	政策疲労	負荷減衰＋穴埋め先行
31	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	SNS不安増幅下で副作用圧100・政策疲労82。新規拡大より“参加できない層”の対象外感と監視誤読を先に潰す局面。	2	0.48	政策疲労	穴塞ぎ優先の副作用抑制
32	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が最大化し、公平感欠損と政策疲労がSNS不安で増幅。追加より整理・負荷制御が先。	2	0.40	政策疲労	要点先出し＋負荷キャップで信頼回復
33	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	不安増幅下で副作用圧100・政策疲労高止まり。拡大より負荷上限と救済導線の統合が先。	2	0.58	政策疲労	拡大停止→負荷キャップと救済統合
34	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が最大化し政策疲労も高止まり。拡大より「誤読と境界の摩擦」を先に減衰させる局面。	2	0.46	政策疲労	増やさず整える（誤読遮断×境界摩擦低減）
35	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大で、説明不足と手続き負荷がSNS不安を増幅し政策疲労が固定化。	2	0.55	政策疲労	増やさず整えて鎮める
36	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が最大で、SNS不安×手続き負荷が政策疲労と対象外反発を増幅。増やすより「直す順序」と簡素化が急務。	2	0.64	政策疲労	増やさず直す・負荷削減先行
37	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が最大化し、公平感欠損と政策疲労がSNS不安で増幅。追加より順序と説明の再設計が急務。	2	0.60	政策疲労	増やさず整える（順序・説明・ガードレール）
38	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極限で不正認知と先行救済不公平が再燃。説明と監査の先行が要る	2	0.52	政策疲労	二層救済の信頼ガード＋対象外反発の緩衝
39	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が天井で、公平感欠損とSNS不安が手続き疲れを増幅し政策疲労が固定化。	2	0.47	政策疲労	副作用の見える化先行＋境界線の負荷削減
40	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が上限で、説明・救済の増設がSNS不安と政策疲労を増幅し二極化が固定化。	2	0.52	政策疲労	増設停止→導線統合と監査の見せ方最適化
41	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労74.9が臨界。SNS不安増幅下で手続き・説明の多さが二極化を加速。	2	0.47	政策疲労	入口統合＋説明最小化で疲労を止血
42	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大で、説明過多と不公平疑念がSNS不安を増幅し政策疲労を固定化。	2	0.50	政策疲労	増やさず整えて鎮静
43	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極限で、SNS不安と手続き複雑さが政策疲労と対象外反発を増幅。	2	0.47	政策疲労	通知抑制×条件明確化の二点固定
44	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労74.7が主因。SNS不安増幅下で線引き疑念と通知過多が不信を再生産。	2	0.49	政策疲労	施策増やさず運用・説明の鎮静改修
45	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労高止まり。通知・線引き不信がSNS不安を増幅し、注意層が広い。	2	0.68	政策疲労	増やさず束ねて鎮静
46	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧91.3と政策疲労61.3が臨界。追加よりも導線・説明・対象条件の再整流が先。	2	0.46	政策疲労	追加凍結で信頼回復
47	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用認知が飽和しSNS不安が増幅、通知過多と線引き不満で政策疲労が固定化。	2	0.50	政策疲労	増やさず鎮静＋公平導線
48	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極端に高く、不安増幅と政策疲労が悪化。まず誤読と対象外感を鎮める。	2	0.50	政策疲労	副作用先行鎮静＋参加不能救済
49	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労62が支配的。SNS不安下で対象外疑念が再燃しやすい。	2	0.46	政策疲労	増やさず整流（通知減×救済導線）
50	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労60.7が臨界。増設より簡素化と誤解防止で分断を抑える。	2	0.38	政策疲労	増やさず整える（自動化×監査×誤解遮断）
51	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用不満が臨界(100)で政策疲労も高い。増やすより簡素化と監査で信頼回復が先。	2	0.52	政策疲労	申請負荷削減＋副作用可視化
52	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労が高止まり。新規追加より、既存施策の束ね直しと監査・異議申立の可視化で不信と二極化を止血。	2	0.42	政策疲労	束ね直し＋副作用可視化
53	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が最大化し、SNS不安と通知疲れが政策疲労を増幅。導線は維持しつつ情報量を減らす局面。	2	0.38	政策疲労	副作用可視化の節度設計＋通知総量削減
54	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労61が臨界。通知停止中でも「隠蔽/不公平」誤読が残り二極化を助長。	2	0.46	政策疲労	増やさず統合・任意化
55	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が最大化し、通知・線引き・運用差が政策疲労と公平感欠損を増幅している	2	0.80	政策疲労	増やさず一体化・例外先出し
56	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労59が支配。線引き不信と運用ばらつきがSNS不安で増幅し二極化へ。	2	0.60	政策疲労	是正優先・線引き段階化
57	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が最大化しSNS不安で誤判定・不公平感が増幅、政策疲労が臨界。	2	0.49	政策疲労	増やさず誤解を潰す
58	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労60が同時に高く、SNS不安で誤読が増幅し公平感欠損が残留。	2	0.58	政策疲労	静音化＋是正最短化
59	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大で、線引き不満と切り取り炎上が政策疲労を増幅。静音で是正・説明の信頼回復が急務。	2	0.56	政策疲労	静音・是正先行の信頼再建
60	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大で、説明・窓口運用が疲労と不信を再生産しやすい	2	0.50	政策疲労	静音運用の平準化＋誤読耐性の説明統合
61	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大でSNS不安が増幅。説明不足と手続き負荷が政策疲労と公平感欠損を固定化。	2	0.74	政策疲労	静音統合＋誤読耐性の強化
62	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極端に高く、説明不足と運用ばらつきが政策疲労と不信を増幅している。	2	0.74	政策疲労	静音統合＋誤読遮断
63	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極端に高く、説明増が政策疲労と切り取り炎上を再加速し得る局面。	2	0.55	政策疲労	静音統合と負荷縮減
64	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極端に高く、政策疲労と公平感欠損がSNS不安増幅で再燃している。	2	0.63	政策疲労	増やさず整える（副作用先止め）
65	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極端に高く、SNS不安増幅と政策疲労が境界層の手続き負担を通じて二極化を再生産。	2	0.68	政策疲労	増やさず整えて誤読を減らす
66	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極端に高く、SNS不安で誤読と対象外反発が増幅し政策疲労が先行。	2	0.46	政策疲労	静音化・是正優先で信頼回復
67	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が最大化し、SNS不安と政策疲労が同時進行。新規追加より運用順序と非強制説明の統一が急務。	2	0.46	政策疲労	先に副作用・異議の統一
68	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧89.5と政策疲労51.1が高止まり。SNS不安増幅下で「監視/不正」誤読と対象外反発が再燃しやすい。	2	0.46	政策疲労	増やさず疲労を下げる二点締め
69	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極端に高く、SNS不安下で手続き・説明負荷が政策疲労と対象外反発を増幅。	2	0.48	政策疲労	増やさず整えて炎上耐性
70	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極端に高く、誤読と手続き疲れが政策疲労を増幅している	2	0.46	政策疲労	負荷削減と誤読遮断
71	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が最大で、説明・異議導線は進展。次は対象外感と政策疲労の再燃抑制が焦点。	2	0.53	政策疲労	対象外感の減衰と副作用先回り
