step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	side_effect_pressure	policy_fatigue_pressure	fairness_gap_pressure	coercion_pressure	fiscal_anxiety_pressure	feedback_summary
14	21	76.67	32.4	42.7	70.7	0.0	0.0	100.0	0.0	0.0	8.9	34.4	5.9	0.0	17.7	5.6	100.0	81.1	61.4	0.0	14.4	政策疲労81.1、公平感欠損61.4、生活防衛34.4
15	21	76.67	35.5	47.7	68.4	0.0	0.0	100.0	0.0	0.0	21.1	26.4	0.0	0.0	24.8	5.5	100.0	76.8	59.8	0.0	15.7	政策疲労76.8、公平感欠損59.8、生活防衛26.4
16	21	76.67	33.2	44.3	70.4	0.0	0.0	100.0	0.0	0.0	4.9	38.1	1.2	0.0	18.2	5.9	100.0	78.6	62.2	0.0	20.1	政策疲労78.6、公平感欠損62.2、生活防衛38.1
17	21	76.67	34.5	46.3	69.4	0.0	0.0	100.0	0.0	0.0	25.2	24.2	0.4	0.0	26.8	5.6	100.0	76.1	60.0	0.0	21.5	政策疲労76.1、公平感欠損60.0、情報過敏26.8
18	21	76.67	32.4	41.8	72.0	0.0	0.0	100.0	0.0	0.0	9.7	45.9	6.0	0.0	10.4	5.8	100.0	80.3	63.6	0.0	25.8	政策疲労80.3、公平感欠損63.6、生活防衛45.9
19	21	76.67	33.7	41.9	70.7	0.0	0.0	100.0	0.0	0.0	5.5	29.1	6.2	0.0	24.3	5.7	100.0	80.7	63.9	0.0	20.1	政策疲労80.7、公平感欠損63.9、生活防衛29.1
20	21	76.67	31.9	41.0	73.1	0.0	0.0	100.0	0.0	0.0	5.2	53.7	4.1	0.0	4.9	5.8	100.0	83.7	64.9	0.0	10.1	政策疲労83.7、公平感欠損64.9、生活防衛53.7
21	21	76.67	32.4	40.7	71.0	0.0	0.0	100.0	0.0	0.0	6.6	54.1	0.7	0.0	7.9	5.8	100.0	82.2	65.6	0.0	11.4	政策疲労82.2、公平感欠損65.6、生活防衛54.1
22	21	76.67	32.1	40.2	70.8	0.0	0.0	94.3	5.7	2.0	12.1	42.8	0.6	0.0	16.9	6.1	100.0	82.1	66.4	0.0	22.9	政策疲労82.1、公平感欠損66.4、生活防衛42.8
23	21	76.67	29.8	39.5	72.5	0.0	0.0	94.3	5.7	2.0	8.8	46.0	0.8	0.0	14.2	6.2	100.0	82.0	67.8	0.0	17.1	政策疲労82.0、公平感欠損67.8、生活防衛46.0
24	22	80.35	30.3	38.8	71.9	0.0	0.0	94.5	5.5	4.4	8.5	53.7	0.4	0.0	7.6	5.9	100.0	80.5	68.2	0.0	28.8	政策疲労80.5、公平感欠損68.2、生活防衛53.7
25	22	80.35	27.6	36.6	74.0	0.0	0.0	94.5	5.5	4.6	7.6	44.3	0.0	0.0	15.9	5.9	100.0	80.0	70.9	0.0	37.1	政策疲労80.0、公平感欠損70.9、生活防衛44.3
26	22	80.35	27.6	37.4	72.5	0.0	0.0	94.5	5.5	1.8	8.2	27.7	2.6	0.0	26.9	5.6	100.0	81.0	69.2	0.0	28.8	政策疲労81.0、公平感欠損69.2、生活防衛27.7
27	22	80.35	27.0	36.1	74.4	0.0	0.0	94.5	5.5	1.9	8.5	52.4	2.9	0.0	7.7	5.8	100.0	83.3	71.3	0.0	24.6	政策疲労83.3、公平感欠損71.3、生活防衛52.4
28	22	80.35	30.9	41.5	69.8	0.0	0.0	94.5	5.5	1.8	4.6	21.8	0.0	0.0	33.1	5.5	100.0	75.9	65.9	0.0	32.9	政策疲労75.9、公平感欠損65.9、情報過敏33.1
29	22	80.35	30.3	40.5	70.8	0.0	4.1	91.7	4.1	1.3	6.2	53.7	0.4	0.0	7.3	5.7	100.0	77.2	67.2	0.0	37.1	政策疲労77.2、公平感欠損67.2、生活防衛53.7
30	22	80.35	27.2	36.2	73.9	0.0	0.0	85.0	15.0	4.3	6.9	46.7	0.3	0.0	14.5	6.0	100.0	81.2	67.8	0.0	37.1	政策疲労81.2、公平感欠損67.8、生活防衛46.7
31	22	80.35	26.5	35.3	73.6	0.0	0.0	80.8	19.2	6.5	2.3	17.0	3.3	0.0	36.9	5.9	100.0	83.9	70.0	0.0	20.5	政策疲労83.9、公平感欠損70.0、情報過敏36.9
32	22	80.35	28.4	37.3	70.7	0.0	0.0	84.9	15.1	5.0	0.0	22.4	2.9	0.0	31.4	5.8	100.0	81.8	70.1	0.0	25.9	政策疲労81.8、公平感欠損70.1、情報過敏31.4
33	22	80.35	28.7	39.1	70.2	0.0	0.0	90.4	9.6	3.2	7.5	23.0	0.4	0.0	32.3	5.8	100.0	80.9	68.1	0.0	20.5	政策疲労80.9、公平感欠損68.1、情報過敏32.3
34	22	80.35	28.7	38.7	70.7	0.0	4.1	86.2	9.6	6.0	10.1	28.3	2.5	0.0	22.4	5.7	100.0	82.0	69.8	0.0	16.4	政策疲労82.0、公平感欠損69.8、生活防衛28.3
35	22	80.35	32.3	42.9	67.0	0.0	4.1	95.9	0.0	0.0	8.8	7.4	2.5	0.0	39.7	5.2	100.0	77.0	66.7	0.0	16.4	政策疲労77.0、公平感欠損66.7、情報過敏39.7
36	22	80.35	33.6	44.0	66.0	0.0	4.1	91.7	4.2	1.4	10.4	27.9	0.3	0.0	24.2	5.3	100.0	71.8	65.5	0.0	38.4	政策疲労71.8、公平感欠損65.5、生活防衛27.9
37	22	80.35	32.0	43.9	68.6	0.0	0.0	95.8	4.2	1.4	7.6	29.3	2.4	0.0	21.9	5.5	100.0	71.9	66.0	0.0	44.6	政策疲労71.9、公平感欠損66.0、生活防衛29.3
38	22	80.35	31.2	41.4	69.7	0.0	4.1	86.2	9.6	3.2	5.9	22.4	3.1	0.0	28.1	9.6	100.0	72.1	68.0	0.0	21.3	政策疲労72.1、公平感欠損68.0、情報過敏28.1
39	22	80.35	32.1	42.7	68.9	0.0	0.0	90.4	9.6	3.2	9.5	19.5	4.5	0.0	30.4	5.7	100.0	74.2	67.4	0.0	10.9	政策疲労74.2、公平感欠損67.4、情報過敏30.4
40	22	80.35	31.6	43.9	68.0	0.0	0.0	94.5	5.5	5.9	3.7	33.2	4.4	0.0	15.1	5.6	100.0	73.0	65.8	0.0	16.4	政策疲労73.0、公平感欠損65.8、生活防衛33.2
41	22	80.35	33.3	44.1	67.7	0.0	0.0	94.5	5.5	1.9	3.8	27.8	7.4	0.0	18.4	5.7	100.0	71.8	63.6	0.0	10.9	政策疲労71.8、公平感欠損63.6、生活防衛27.8
42	22	80.35	32.4	41.4	70.6	0.0	0.0	90.4	9.6	6.0	5.8	29.8	4.8	0.0	22.0	5.9	100.0	75.7	65.5	0.0	16.4	政策疲労75.7、公平感欠損65.5、生活防衛29.8
43	22	80.35	34.5	44.3	65.5	0.0	13.7	76.6	9.6	3.3	4.8	13.9	2.1	0.0	29.9	8.7	95.9	69.3	62.5	0.0	20.5	政策疲労69.3、公平感欠損62.5、情報過敏29.9
44	22	80.35	35.4	44.9	65.6	0.0	8.3	80.9	10.9	3.8	5.5	23.5	2.0	0.0	27.3	5.8	100.0	70.4	62.0	0.0	29.2	政策疲労70.4、公平感欠損62.0、情報過敏27.3
45	22	80.35	35.9	45.3	65.3	0.0	4.1	90.4	5.5	1.9	4.5	51.6	1.9	0.0	1.6	5.7	100.0	71.5	61.9	0.0	20.5	政策疲労71.5、公平感欠損61.9、生活防衛51.6
46	22	80.35	36.6	45.4	63.8	0.0	9.6	90.4	0.0	0.0	12.1	38.6	2.8	0.0	12.0	5.7	100.0	71.1	60.9	0.0	19.2	政策疲労71.1、公平感欠損60.9、生活防衛38.6
47	22	80.35	36.9	46.2	64.7	0.0	9.6	85.0	5.5	1.8	7.0	21.7	2.3	0.0	23.5	9.1	100.0	71.2	59.0	0.0	15.0	政策疲労71.2、公平感欠損59.0、情報過敏23.5
48	23	83.9	40.2	48.5	62.3	0.0	21.1	78.9	0.0	0.0	8.4	20.8	1.9	0.0	23.3	5.4	96.0	68.4	56.4	0.0	18.4	政策疲労68.4、公平感欠損56.4、情報過敏23.3
49	23	83.9	40.7	50.9	59.1	0.0	25.3	74.7	0.0	0.0	14.4	36.9	2.0	0.0	9.4	5.2	96.0	61.5	54.9	0.0	30.3	政策疲労61.5、公平感欠損54.9、生活防衛36.9
50	23	83.9	39.1	50.3	61.4	0.0	18.4	76.4	5.2	1.8	22.8	30.2	1.7	0.0	14.7	4.8	100.0	62.5	55.2	0.0	34.3	政策疲労62.5、公平感欠損55.2、生活防衛30.2
51	23	83.9	41.0	51.1	62.3	0.0	9.2	90.8	0.0	0.0	11.6	30.8	3.4	0.0	14.1	5.4	100.0	58.9	53.5	0.0	34.3	政策疲労58.9、公平感欠損53.5、生活防衛30.8
52	23	83.9	40.9	49.0	62.8	0.0	14.4	85.6	0.0	0.0	6.2	26.9	4.0	0.0	17.7	5.0	100.0	61.1	53.7	0.0	30.3	政策疲労61.1、公平感欠損53.7、生活防衛26.9
53	23	83.9	43.0	51.9	59.9	0.0	32.8	67.2	0.0	0.0	12.7	21.4	2.2	0.0	22.7	4.7	90.8	55.2	49.1	0.0	36.3	政策疲労55.2、公平感欠損49.1、情報過敏22.7
54	23	83.9	40.3	47.2	63.6	0.0	9.2	90.8	0.0	0.0	7.7	26.1	0.3	0.0	23.6	5.3	100.0	59.7	50.9	0.0	50.7	政策疲労59.7、公平感欠損50.9、生活防衛26.1
55	23	83.9	40.4	47.5	64.4	0.0	0.0	100.0	0.0	0.0	7.4	23.6	0.0	0.0	27.6	5.4	100.0	60.9	51.8	0.0	50.7	政策疲労60.9、公平感欠損51.8、情報過敏27.6
56	23	83.9	41.9	51.0	62.4	0.0	4.0	96.0	0.0	0.0	12.3	39.3	2.1	0.0	9.6	5.3	100.0	58.0	49.4	0.0	50.7	政策疲労58.0、公平感欠損49.4、生活防衛39.3
57	23	83.9	42.0	51.0	60.9	0.0	22.3	77.7	0.0	0.0	7.6	22.3	3.9	0.0	20.5	5.0	100.0	56.8	48.0	0.0	46.7	政策疲労56.8、公平感欠損48.0、生活防衛22.3
58	23	83.9	42.2	52.3	61.3	0.0	14.4	85.6	0.0	0.0	7.2	22.3	1.8	0.0	22.6	5.3	100.0	55.3	47.8	0.0	51.9	政策疲労55.3、公平感欠損47.8、情報過敏22.6
59	23	83.9	41.6	51.8	61.9	0.0	9.2	90.8	0.0	0.0	7.1	24.0	4.7	0.0	20.3	5.2	100.0	57.3	48.2	0.0	48.4	政策疲労57.3、公平感欠損48.2、生活防衛24.0
60	23	83.9	41.9	52.9	61.0	0.0	9.2	90.8	0.0	0.0	11.2	26.5	3.2	0.0	17.3	5.0	100.0	53.1	47.1	0.0	57.5	政策疲労53.1、公平感欠損47.1、生活防衛26.5
61	24	87.35	44.4	55.2	57.6	0.0	21.5	78.5	0.0	0.0	14.4	24.5	0.0	0.0	20.2	4.4	100.0	54.8	44.0	0.0	45.2	政策疲労54.8、公平感欠損44.0、生活防衛24.5
62	24	87.35	45.8	57.3	55.7	0.0	20.7	79.3	0.0	0.0	17.7	25.6	3.6	0.0	15.4	4.1	100.0	52.0	42.4	0.0	66.7	政策疲労52.0、公平感欠損42.4、生活防衛25.6
63	25	90.7	47.7	58.2	52.4	0.0	45.5	54.5	0.0	0.0	20.5	22.5	0.4	0.0	17.9	3.5	100.0	49.0	41.5	0.0	67.9	政策疲労49.0、公平感欠損41.5、生活防衛22.5
64	25	90.7	46.9	59.1	54.4	0.0	30.3	69.7	0.0	0.0	14.2	15.7	0.0	0.0	25.4	3.5	100.0	48.6	40.7	0.0	72.7	政策疲労48.6、公平感欠損40.7、情報過敏25.4
65	26	93.9	49.6	60.9	51.3	0.0	59.3	40.7	0.0	0.0	11.7	21.7	0.0	0.0	18.4	2.4	92.5	42.8	35.7	0.0	66.6	政策疲労42.8、公平感欠損35.7、生活防衛21.7
66	28	100.0	46.6	55.5	56.0	0.0	29.0	71.0	0.0	0.0	8.5	22.9	0.0	0.0	19.2	3.3	100.0	45.7	37.4	0.0	82.9	政策疲労45.7、公平感欠損37.4、生活防衛22.9
67	28	100.0	44.0	51.8	58.2	0.0	15.4	84.6	0.0	0.0	3.9	22.1	0.2	0.0	24.9	3.8	100.0	47.1	39.2	0.0	82.9	政策疲労47.1、公平感欠損39.2、情報過敏24.9
68	28	100.0	44.0	52.8	58.5	0.0	11.0	89.0	0.0	0.0	30.8	35.0	0.0	0.0	14.0	3.7	100.0	46.5	38.5	0.0	65.1	政策疲労46.5、公平感欠損38.5、生活防衛35.0
69	28	100.0	43.5	52.4	59.6	0.0	6.8	93.2	0.0	0.0	10.5	20.6	3.6	0.0	21.3	3.8	96.5	48.5	40.2	0.0	71.6	政策疲労48.5、公平感欠損40.2、情報過敏21.3
70	28	100.0	46.2	55.7	54.0	0.0	36.4	63.6	0.0	0.0	2.4	9.8	2.0	0.0	28.8	3.3	100.0	42.6	38.6	0.0	79.4	政策疲労42.6、公平感欠損38.6、情報過敏28.8
71	28	100.0	44.4	52.1	58.2	0.0	14.5	85.5	0.0	0.0	9.2	25.7	0.0	0.0	19.8	3.8	100.0	46.7	41.1	0.0	79.4	政策疲労46.7、公平感欠損41.1、生活防衛25.7
