step	planner_id	scenario_mode	model	diagnosis	policy_count	total_budget_cost_0to1	dominant_issue	adjustment_strategy
11	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安増幅で誤解が拡散し、対象外反発と手続き疲れが政策疲労を押し上げている	2	0.35	政策疲労	増やさず統合・分散
12	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安増幅下で説明施策が増え、対象外反発と政策疲労が高止まり。導線の一本化と“例外時の逃げ道”明確化が不足。	2	0.25	政策疲労	増やさず統合＋例外導線
13	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安で誤解が増幅し、説明追加が逆に情報過多→政策疲労と不公平感を固定化。	2	0.19	政策疲労	説明の圧縮と現場裁量の可視化
14	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安×手続き疲れで政策疲労が臨界、対象外反発と不公平感が固定化。	2	0.43	政策疲労	増やさず疲労を減らす
15	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	手続き簡素化は進むが、情報過多と対象外反発が残り政策疲労が臨界。	2	0.27	政策疲労	増やさず整える（通知抑制＋弱者補完）
16	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧100と政策疲労76.8が限界域。追加より統合・減算と対象外説明不足が主因。	2	0.35	政策疲労	増やさず統合・減算
17	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	財政圧力下で手続き・説明の積み増しが限界化し、対象外反発と疲労が固定化。	2	0.30	政策疲労	増やさず迷子ゼロ化
18	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	財政圧力下で施策増殖が逆効果化し、注意層の政策疲労と対象外反発が固定化している	2	0.24	政策疲労	増やさず詰まり解消
19	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策が積み上がり通知・判定・窓口が再混雑し、対象外反発と政策疲労が増幅。	2	0.18	政策疲労	増やさず摩擦削減
20	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	政策疲労が極大で、対象外理由がSNS不安と公平感欠損を増幅。増やすより順序・言い方・窓口容量の調整が先。	2	0.34	政策疲労	増やさず統一・減量
21	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策は積み上がる一方で理解・手続き負担が限界、対象外反発と財政不安が増幅し政策疲労が固定化。	2	0.35	政策疲労	施策棚卸しと手続き最短化
22	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策は整ったが副作用圧100・政策疲労82が残存。対象外反発と窓口混雑再燃が次の火種。	2	0.28	政策疲労	増やさず減らす宣言＋入口制御
23	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安増幅下で副作用認知が最大化。説明増が逆に疲労と公平感欠損を悪化。	2	0.28	政策疲労	統合・減量・更新日固定
24	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	通知と例外導線が増え、副作用が最大化。公平感欠損と政策疲労が高止まりしSNS不安が増幅。	2	0.46	政策疲労	増やさず統合＋運用差是正
25	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	注意層がほぼ全域で政策疲労が限界、対象外・境界層の不満がSNS不安で増幅し副作用が最大化。	2	0.46	政策疲労	減量＋再判定確実化
26	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用が最大化し、政策疲労と公平感欠損が固定化。追加より運用統合と境界層対策の安全設計が先。	2	0.30	政策疲労	増やさず束ねて安全化
27	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安と公平感欠損が政策疲労を加速、手続き負担と対象外反発が二極化を固定化。	2	0.57	政策疲労	増やさず届き方と手続きの摩擦低減
28	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安と公平感欠損が政策疲労を増幅。増やすより自動適用の失敗時対応と説明統合が急務	2	0.34	政策疲労	増設抑制で信頼回復
29	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	訂正・自動適用は進むが、副作用懸念と対象外反発が残り政策疲労が限界域。	2	0.26	政策疲労	増やさず整えて不安を止血
30	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用が最大化し、説明不足×運用差で公平感欠損と政策疲労が固定化。SNS不安も増幅。	2	0.38	政策疲労	増やさず整えて信頼回復
31	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安と財政不安が相互増幅し、例外対応の不信と政策疲労が臨界。増設より統合と運用の見える化が必要。	2	0.30	政策疲労	情報統合＋例外運用の透明化
32	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安が高止まりし、副作用懸念が最大化。説明追加が効く一方で政策疲労と公平感欠損が固定化。	2	0.44	政策疲労	増やさず届き方を再設計
33	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安が過熱し、政策疲労と公平感欠損が固定化。誤情報と自治体差が火種。	2	0.30	政策疲労	凍結強化＋訂正即応
34	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策追加が続き副作用と政策疲労が臨界。公平感欠損とSNS不安が再燃しやすい。	2	0.44	政策疲労	減施策・導線統合
35	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安と副作用が限界域。施策追加が疲労と不公平感を増幅し、離脱が進む局面。	2	0.30	政策疲労	追加停止で統合・誤誘導防止
36	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	不安拡散と公平感欠損が、手続き負荷と施策乱立感を増幅し政策疲労が限界域。	2	0.31	政策疲労	増やさず整える・例外を見える化
37	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安と副作用が最大化し、施策増で政策疲労と公平感欠損が固定化。	2	0.69	政策疲労	追加抑制＋通知圧縮＋生活防衛に再配分
38	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安が増幅し、通知疲れと対象外感が結びつき副作用が最大化。公平性の説明不足が火種。	2	0.38	政策疲労	増やさず届き方を再設計
39	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	不安増幅下で通知・施策過多が続き、対象外感と公平感欠損が政策疲労を固定化。	2	0.73	政策疲労	施策増より到達設計の統合
40	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策が積み上がり副作用認知が飽和。通知疲れと公平感欠損がSNS不安を増幅。	2	0.42	政策疲労	統合・減量と公平補正
41	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安と情報過多が政策疲労を固定化。対象外反発と公平感欠損が再燃しやすい。	2	0.37	政策疲労	増やさず一本化・段階実装
42	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧100と政策疲労高止まり。追加施策より統合・説明・混雑制御が急務。	2	0.42	政策疲労	増やさず統合＋対象外納得
43	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	注意層が大半で副作用圧100。通知・申請の増改が重なり政策疲労と公平感欠損が固定化。	2	0.40	政策疲労	増やさず整理＋納得導線
44	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安増幅と副作用圧が極端に高く、通知・異議対応が公平感欠損と政策疲労を増幅。追加より運用の分散・説明の統一が先。	2	0.57	政策疲労	増設抑制の運用再設計
45	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安が極大で副作用警戒が飽和。追加施策より運用負荷と不公平感の火種を先に減らす局面。	2	0.38	政策疲労	追加抑制＋運用の摩擦除去
46	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	通知・説明・窓口が増え副作用100と政策疲労が高止まり、境界層の不信が残る	2	0.30	政策疲労	増やさず減らして一本化
47	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧100と政策疲労71が突出。対象外不満と不信がSNS不安で増幅。	2	0.42	政策疲労	増やさず可視化・予見可能化
48	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧が最大で政策疲労と公平感欠損が固定化。新規追加より整理と導線最適化が必要。	2	0.50	政策疲労	増やさず減らして迷いを消す
49	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	政策疲労と副作用が極大化。SNS不安増幅下で『隠蔽/強制』誤解が再燃しやすい。	2	0.46	政策疲労	告知最小化＋誤解封じの先回り
50	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧が極端に高く、説明増で再疲労・不公平感が増幅。境界層の不満が滞留。	2	0.52	政策疲労	増やさず減らす・選択制
51	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安が過熱し、説明増で疲労が蓄積。境界層の不公平感が反発に転びやすい。	2	0.54	政策疲労	説明の圧縮と境界救済の標準化
52	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧100で疲労と不公平感が噴出、告知/運用の増設が不安増幅を招いている	2	0.40	政策疲労	増設停止と運用統合
53	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	追加停止で疲労は抑えるが、隠蔽疑念と境界不信がSNS不安を再点火しやすい	2	0.50	政策疲労	一本化の信頼回復＋境界不安の吸収
54	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策一本化後も不安増幅と副作用圧が極大で、説明不足が疲労と反発を再点火。	2	0.50	政策疲労	増やさず誤解を潰す
55	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策増より運用・説明が積み上がり、対象外感と不信がSNSで増幅し疲労が固定化	2	0.45	政策疲労	増やさず摩擦削減
56	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	注意層100%かつ副作用圧100%。SNS不安増幅と公平感欠損が政策疲労を再燃。	2	0.45	政策疲労	露出制御＋境界納得の先回り
57	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	不安増幅と政策疲労が高止まり。境界判定の納得不足が公平感欠損と副作用を増やす。	2	0.48	政策疲労	情報負荷の段階化＋境界納得の摩擦最小
58	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧100と政策疲労56.8が主因。通知/手続きの負担が不安増幅と公平感欠損を再燃。	2	0.40	政策疲労	増やさず負担ゼロ化
59	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧100と政策疲労55が先行。施策追加より運用固定と納得順序で炎上連鎖を止める局面。	2	0.36	政策疲労	増やさず固定＋納得順序
60	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用認知が飽和し、通知/境界運用の更新疲れと公平感欠損がSNS不安を増幅。	2	0.50	政策疲労	運用固定＋炎上点の最小補修
61	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧100と政策疲労53が上振れ。SNS不安と公平感欠損が連鎖し、追加改修が逆効果化。	2	0.40	政策疲労	増やさず固定・見える化
62	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧100と政策疲労が高止まり。SNS不安が切り取りで再燃しやすい。	2	0.46	政策疲労	増やさず誤解を潰す
63	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧100と政策疲労52が先行。SNS不安下で運用品質差と対象外感が再燃しやすい。	2	0.53	政策疲労	増やさず品質均一化
64	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧が最大で、説明増・運用変更が不公平感と疲労を増幅しやすい局面。	2	0.54	政策疲労	増やさず束ねて公平担保
65	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧が最大化し、境界層の公平感欠損と通知疲労が同時に制度不信を増幅。	2	0.36	政策疲労	運用の可視化と局所是正
66	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧が極端に高く、発信・運用差が不信と政策疲労を増幅している。	2	0.28	政策疲労	増やさず減らして誤読を潰す
67	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧が極大。発信・手続きの積み上げで疲労と不公平疑念が増幅中。	2	0.43	政策疲労	施策数抑制＋運用一本化
68	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安と手続き摩擦が注意層を固定化。副作用圧100で追加施策は疲労を増やす局面。	2	0.40	政策疲労	追加抑制・摩擦削減の再設計
69	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧が最大で、発信・例外運用の積み増しが政策疲労と不信を増幅。境界層の手続き損失が二極化を固定化。	2	0.45	政策疲労	増やさず統合＋損失補填
70	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	発信整理は進むが、境界層の手続き損失と対象外感が残り、公平疑念がSNSで増幅し政策疲労が高止まり。	2	0.34	政策疲労	増やさず補完と誤解防止
71	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安と副作用圧が最大化。施策追加より通知・手続き起因の疲労と不公平疑念の抑制が急務。	2	0.45	政策疲労	増やさず統合・頻度制御
