step	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	dominant_world_pressure	high_risk_countries	world_context_for_agents
12	67.1	63.6	73.8	72.5	72.9	72.2	79.4	28.0	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ12: SNS不安増幅が79.4。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は28.0。
13	69.0	62.7	75.7	73.0	75.0	73.2	81.9	25.9	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ13: SNS不安増幅が81.9。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は25.9。
14	67.1	59.8	70.8	65.1	72.9	64.8	77.9	29.4	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ14: SNS不安増幅が77.9。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は29.4。
15	68.4	59.6	71.7	65.1	74.1	65.1	75.3	27.9	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ15: SNS不安増幅が75.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は27.9。
16	69.6	59.8	72.0	66.3	78.8	66.4	76.5	24.5	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ16: 財政圧力が78.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は24.5。
17	70.8	59.9	75.1	67.7	80.5	67.6	80.7	22.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ17: SNS不安増幅が80.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は22.6。
18	72.4	61.3	76.4	69.2	82.1	69.4	83.1	21.1	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ18: SNS不安増幅が83.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は21.1。
19	66.7	57.6	71.6	67.1	79.7	66.5	78.6	24.7	財政圧力	ウクライナ(限定戦争)	ステップ19: 財政圧力が79.7。高リスク国: ウクライナ(限定戦争)。日本の緩衝政策余力は24.7。
20	68.7	58.6	74.1	69.0	80.6	68.2	82.6	23.3	SNS不安増幅	ウクライナ(限定戦争)	ステップ20: SNS不安増幅が82.6。高リスク国: ウクライナ(限定戦争)。日本の緩衝政策余力は23.3。
21	67.2	46.0	71.2	67.9	78.2	65.7	78.9	26.5	SNS不安増幅	ウクライナ(限定戦争)	ステップ21: SNS不安増幅が78.9。高リスク国: ウクライナ(限定戦争)。日本の緩衝政策余力は26.5。
22	69.0	47.4	72.1	69.6	79.3	65.5	80.5	25.1	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)	ステップ22: SNS不安増幅が80.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)。日本の緩衝政策余力は25.1。
23	70.5	49.9	74.2	73.4	79.2	68.5	83.2	23.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ23: SNS不安増幅が83.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は23.6。
24	71.7	52.1	74.9	73.9	79.2	69.5	83.5	22.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ24: SNS不安増幅が83.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は22.6。
25	72.1	53.0	77.8	75.5	80.6	70.9	85.4	21.7	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ25: SNS不安増幅が85.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は21.7。
26	73.6	55.1	80.3	76.7	81.8	72.3	87.3	20.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ26: SNS不安増幅が87.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は20.2。
27	73.7	55.4	81.4	77.1	82.7	72.8	89.4	19.0	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ27: SNS不安増幅が89.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は19.0。
28	73.6	56.3	82.4	77.1	84.0	73.5	90.5	17.8	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ28: SNS不安増幅が90.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は17.8。
29	73.5	60.3	80.8	79.3	83.9	74.5	90.7	17.3	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ29: SNS不安増幅が90.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は17.3。
30	74.6	61.9	82.1	79.6	85.7	75.0	92.2	15.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ30: SNS不安増幅が92.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は15.2。
31	74.2	61.5	84.6	79.7	85.7	75.3	92.8	15.0	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ31: SNS不安増幅が92.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は15.0。
32	74.0	61.3	87.0	80.2	85.9	75.7	93.8	14.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ32: SNS不安増幅が93.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.6。
33	73.8	61.1	87.0	80.9	85.3	75.7	94.3	14.3	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ33: SNS不安増幅が94.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.3。
34	71.6	62.9	82.5	79.3	81.8	72.9	91.0	16.3	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ34: SNS不安増幅が91.0。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は16.3。
35	73.4	64.3	81.9	79.7	83.3	74.2	93.2	14.8	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ35: SNS不安増幅が93.2。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は14.8。
36	72.9	62.6	79.2	78.6	83.6	73.2	90.9	15.3	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ36: SNS不安増幅が90.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は15.3。
37	72.0	62.1	78.2	77.9	83.1	72.3	89.3	16.1	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ37: SNS不安増幅が89.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は16.1。
38	74.1	63.8	79.3	78.9	85.3	73.8	90.6	14.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ38: SNS不安増幅が90.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.6。
39	75.5	64.5	83.7	79.8	86.8	75.4	91.9	13.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ39: SNS不安増幅が91.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は13.6。
40	75.6	63.6	81.7	79.6	86.8	75.5	90.7	13.8	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ40: SNS不安増幅が90.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は13.8。
41	73.7	61.5	77.0	77.3	84.2	73.0	85.2	19.3	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ41: SNS不安増幅が85.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は19.3。
42	74.3	62.2	82.2	78.3	86.4	75.1	87.4	17.1	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ42: SNS不安増幅が87.4。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は17.1。
43	76.2	63.7	83.1	82.5	87.5	78.4	89.0	15.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ43: SNS不安増幅が89.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は15.6。
44	75.8	63.8	83.0	82.1	88.2	78.2	89.5	14.9	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ44: SNS不安増幅が89.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.9。
45	76.4	64.4	84.3	82.7	88.4	79.1	92.6	13.7	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ45: SNS不安増幅が92.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は13.7。
46	80.0	67.5	84.0	86.1	88.4	83.1	92.7	13.1	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、イスラエル(間接衝突)	ステップ46: SNS不安増幅が92.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は13.1。
47	78.6	66.4	83.2	84.8	88.2	82.6	92.3	13.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ47: SNS不安増幅が92.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は13.6。
48	78.3	65.2	82.5	83.7	87.7	81.2	91.6	14.4	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ48: SNS不安増幅が91.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.4。
49	75.0	62.8	77.4	81.8	84.7	77.8	87.3	18.6	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ49: SNS不安増幅が87.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は18.6。
50	75.6	63.9	81.8	82.5	85.5	78.5	88.5	17.1	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ50: SNS不安増幅が88.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は17.1。
51	75.5	64.5	82.6	81.7	86.1	78.6	89.2	16.4	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ51: SNS不安増幅が89.2。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は16.4。
52	75.5	63.8	85.7	82.6	87.2	79.6	90.5	15.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ52: SNS不安増幅が90.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は15.6。
53	76.1	64.7	87.1	83.0	87.8	80.2	92.2	14.5	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ53: SNS不安増幅が92.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.5。
54	76.0	72.2	82.1	81.1	87.4	79.0	89.7	14.7	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ54: SNS不安増幅が89.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は14.7。
55	74.7	68.5	78.8	79.3	85.3	76.6	86.8	16.7	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ55: SNS不安増幅が86.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は16.7。
56	75.2	68.8	79.0	80.7	87.4	77.8	87.6	15.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ56: SNS不安増幅が87.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は15.2。
57	74.0	66.6	76.2	79.9	85.1	76.2	84.9	19.3	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ57: 財政圧力が85.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は19.3。
58	75.1	66.6	76.6	80.8	85.5	77.0	85.4	18.5	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ58: 財政圧力が85.5。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は18.5。
59	73.2	64.5	73.8	79.3	83.9	75.1	83.1	21.3	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ59: 財政圧力が83.9。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は21.3。
60	73.6	63.6	72.7	79.4	83.6	74.4	82.6	21.2	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ60: 財政圧力が83.6。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は21.2。
61	73.6	62.3	72.6	78.1	82.7	73.8	81.6	22.1	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ61: 財政圧力が82.7。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は22.1。
62	74.2	62.9	73.0	78.3	83.5	74.0	81.6	21.2	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ62: 財政圧力が83.5。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は21.2。
63	75.8	64.6	74.3	80.9	84.0	75.8	82.7	20.3	財政圧力	ウクライナ(限定戦争)	ステップ63: 財政圧力が84.0。高リスク国: ウクライナ(限定戦争)。日本の緩衝政策余力は20.3。
64	76.4	65.2	74.1	81.0	85.7	76.5	83.9	18.6	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ64: 財政圧力が85.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は18.6。
65	75.9	63.8	72.4	79.7	84.4	75.1	82.6	20.2	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ65: 財政圧力が84.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は20.2。
66	75.9	63.8	74.0	79.6	84.2	75.0	82.5	20.0	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ66: 財政圧力が84.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は20.0。
67	76.2	64.6	74.6	80.0	85.1	74.9	83.6	19.3	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ67: 財政圧力が85.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は19.3。
68	75.2	63.6	73.2	79.5	83.5	73.8	81.8	19.7	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ68: 財政圧力が83.5。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は19.7。
69	75.6	62.3	73.3	79.1	82.8	73.5	81.5	19.6	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ69: 財政圧力が82.8。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は19.6。
70	76.3	63.6	74.5	80.3	83.6	74.5	82.6	19.0	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ70: 財政圧力が83.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は19.0。
71	75.7	63.0	72.6	79.7	83.0	73.4	82.0	19.5	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ71: 財政圧力が83.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は19.5。
72	74.5	61.2	70.5	78.3	81.2	71.5	79.9	21.2	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ72: 財政圧力が81.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は21.2。
73	74.5	59.8	70.9	78.1	80.0	70.9	78.9	21.8	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ73: 財政圧力が80.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は21.8。
74	75.1	60.5	72.2	78.4	81.7	72.1	80.4	20.5	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ74: 財政圧力が81.7。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は20.5。
75	75.7	60.9	72.2	77.7	81.2	72.6	80.9	20.9	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ75: 財政圧力が81.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は20.9。
76	74.7	60.3	70.9	78.0	81.9	72.0	81.3	20.7	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ76: 財政圧力が81.9。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は20.7。
77	75.7	61.5	72.0	78.0	82.8	73.0	82.2	20.2	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ77: 財政圧力が82.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は20.2。
78	75.8	62.0	72.8	78.4	82.9	73.4	82.8	19.6	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ78: 財政圧力が82.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は19.6。
79	76.7	62.9	73.4	79.8	83.9	74.4	84.0	18.4	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ79: SNS不安増幅が84.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は18.4。
80	77.1	70.6	74.9	80.8	85.7	76.7	85.0	17.7	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ80: 財政圧力が85.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は17.7。
81	76.0	68.7	73.3	79.5	84.2	75.8	83.9	18.8	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ81: 財政圧力が84.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は18.8。
82	75.6	66.9	73.1	79.1	84.2	75.7	83.4	18.7	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ82: 財政圧力が84.2。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は18.7。
