step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	feedback_summary
11	20	75.0	39.7	51.2	67.5	0.0	0.0	100.0	0.0	0.0	21.9	25.7	7.5	0.0	22.1	5.9	生活防衛25.7、情報過敏22.1、制度要求21.9
12	21	76.67	38.6	48.0	69.2	0.0	0.0	100.0	0.0	0.0	17.3	27.4	3.0	0.0	24.9	6.0	生活防衛27.4、情報過敏24.9、制度要求17.3
13	21	76.67	37.9	49.4	69.1	0.0	0.0	100.0	0.0	0.0	19.8	25.4	6.2	0.0	25.9	5.8	情報過敏25.9、生活防衛25.4、制度要求19.8
14	21	76.67	36.3	50.2	70.6	0.0	0.0	100.0	0.0	0.0	15.7	27.0	2.1	0.0	29.3	6.0	情報過敏29.3、生活防衛27.0、制度要求15.7
15	21	76.67	36.1	49.9	70.7	0.0	0.0	100.0	0.0	0.0	12.9	18.2	8.7	0.0	31.8	6.2	情報過敏31.8、生活防衛18.2、制度要求12.9
16	21	76.67	34.2	44.1	72.8	0.0	0.0	94.3	5.7	1.2	20.1	27.1	3.1	0.0	27.9	6.3	情報過敏27.9、生活防衛27.1、制度要求20.1
17	21	76.67	33.1	44.5	73.4	0.0	0.0	100.0	0.0	0.0	19.3	31.5	0.8	0.0	27.5	6.3	生活防衛31.5、情報過敏27.5、制度要求19.3
18	21	76.67	30.9	40.5	73.7	0.0	0.0	100.0	0.0	0.0	18.7	38.7	3.5	0.0	16.9	6.3	生活防衛38.7、制度要求18.7、情報過敏16.9
19	21	76.67	31.6	42.2	73.0	0.0	0.0	100.0	0.0	0.0	20.3	24.1	4.0	0.0	29.9	6.3	情報過敏29.9、生活防衛24.1、制度要求20.3
20	21	76.67	31.7	43.7	73.0	0.0	0.0	100.0	0.0	0.0	18.6	20.5	3.2	0.0	33.9	6.1	情報過敏33.9、生活防衛20.5、制度要求18.6
21	21	76.67	35.7	46.8	69.2	0.0	2.2	97.8	0.0	0.0	19.1	27.2	0.2	0.0	30.5	5.8	情報過敏30.5、生活防衛27.2、制度要求19.1
22	21	76.67	34.6	46.3	71.9	0.0	0.0	100.0	0.0	0.0	16.1	38.5	0.0	0.0	22.7	6.1	生活防衛38.5、情報過敏22.7、制度要求16.1
23	21	76.67	40.1	52.6	65.3	0.0	18.7	81.3	0.0	0.0	44.9	39.6	2.5	0.0	11.4	5.3	制度要求44.9、生活防衛39.6、情報過敏11.4
24	22	80.35	44.8	55.4	64.1	0.0	17.9	82.1	0.0	0.0	23.7	36.4	1.4	0.0	18.0	5.6	生活防衛36.4、制度要求23.7、情報過敏18.0
25	22	80.35	47.4	59.5	61.5	0.0	15.0	85.0	0.0	0.0	28.9	35.2	3.9	0.0	14.6	4.7	生活防衛35.2、制度要求28.9、情報過敏14.6
26	22	80.35	48.5	60.6	62.2	0.0	9.6	90.4	0.0	0.0	21.8	27.6	2.6	0.0	23.1	5.2	生活防衛27.6、情報過敏23.1、制度要求21.8
27	22	80.35	49.4	62.3	61.1	0.0	19.2	80.8	0.0	0.0	37.0	35.6	4.3	0.0	11.0	4.5	制度要求37.0、生活防衛35.6、情報過敏11.0
28	22	80.35	50.9	64.1	61.3	0.0	8.3	91.7	0.0	0.0	27.8	41.8	1.6	0.0	9.1	4.4	生活防衛41.8、制度要求27.8、情報過敏9.1
29	22	80.35	51.5	64.1	61.7	0.0	9.6	90.4	0.0	0.0	23.4	35.1	1.7	0.0	15.5	4.5	生活防衛35.1、制度要求23.4、情報過敏15.5
30	22	80.35	52.4	65.9	60.2	4.1	5.5	90.4	0.0	0.0	34.3	42.9	2.0	0.3	7.6	4.7	生活防衛42.9、制度要求34.3、情報過敏7.6
31	22	80.35	53.8	68.1	57.5	0.0	28.7	71.3	0.0	0.0	23.2	34.4	4.1	0.0	11.2	3.6	生活防衛34.4、制度要求23.2、情報過敏11.2
32	22	80.35	55.4	69.9	55.7	0.0	35.8	64.2	0.0	0.0	22.1	27.7	2.6	0.0	16.1	4.2	生活防衛27.7、制度要求22.1、情報過敏16.1
33	22	80.35	55.9	69.5	56.1	5.5	30.9	63.7	0.0	0.0	21.8	32.3	0.9	0.3	12.8	3.7	生活防衛32.3、制度要求21.8、情報過敏12.8
34	22	80.35	60.3	71.4	51.1	19.2	57.5	23.3	0.0	0.0	23.9	36.2	0.8	1.0	5.3	2.4	生活防衛36.2、制度要求23.9、情報過敏5.3
35	22	80.35	61.1	71.3	51.5	17.9	71.2	10.9	0.0	0.0	22.8	32.8	3.2	1.1	9.8	2.4	生活防衛32.8、制度要求22.8、情報過敏9.8
36	22	80.35	61.4	69.4	52.2	26.6	59.6	13.8	0.0	0.0	25.3	34.2	2.3	1.5	7.0	1.2	生活防衛34.2、制度要求25.3、情報過敏7.0
37	22	80.35	62.8	69.7	53.3	32.1	52.1	15.8	0.0	0.0	25.7	36.6	2.9	1.9	6.1	1.3	生活防衛36.6、制度要求25.7、情報過敏6.1
38	22	80.35	62.7	70.2	54.0	26.6	60.5	12.9	0.0	0.0	18.9	31.2	0.9	1.7	12.6	2.5	生活防衛31.2、制度要求18.9、情報過敏12.6
39	22	80.35	62.5	69.8	52.8	26.2	63.0	10.9	0.0	0.0	23.0	39.1	5.2	1.5	2.0	2.4	生活防衛39.1、制度要求23.0、学習移行5.2
40	22	80.35	63.7	70.5	52.6	30.8	54.3	15.0	0.0	0.0	27.2	35.2	1.4	1.9	8.9	2.4	生活防衛35.2、制度要求27.2、情報過敏8.9
41	22	80.35	64.3	71.5	51.5	36.2	47.5	16.3	0.0	0.0	27.2	36.0	0.9	2.1	4.5	3.6	生活防衛36.0、制度要求27.2、情報過敏4.5
42	22	80.35	63.9	70.1	52.0	22.0	67.1	10.9	0.0	0.0	25.9	33.1	1.0	1.3	9.9	2.3	生活防衛33.1、制度要求25.9、情報過敏9.9
43	22	80.35	67.1	73.4	50.5	47.9	41.2	10.9	0.0	0.0	28.7	38.3	1.6	2.7	2.8	2.1	生活防衛38.3、制度要求28.7、情報過敏2.8
44	22	80.35	69.1	74.5	51.2	47.9	41.2	10.9	0.0	0.0	29.3	35.2	2.6	2.9	5.4	1.2	生活防衛35.2、制度要求29.3、情報過敏5.4
45	22	80.35	71.4	76.1	50.9	63.7	25.4	10.9	0.0	0.0	29.9	34.3	4.4	3.8	2.9	2.5	生活防衛34.3、制度要求29.9、学習移行4.4
46	22	80.35	71.2	75.3	51.2	65.0	24.1	10.9	0.0	0.0	33.7	35.5	3.1	3.9	3.8	2.5	生活防衛35.5、制度要求33.7、連帯3.9
47	22	80.35	70.5	75.2	52.0	64.5	20.5	15.0	0.0	0.0	33.3	39.6	0.5	5.7	1.6	2.8	生活防衛39.6、制度要求33.3、連帯5.7
48	23	83.9	69.5	73.2	50.6	50.1	39.5	10.4	0.0	0.0	34.3	38.6	1.3	3.0	2.2	1.6	生活防衛38.6、制度要求34.3、連帯3.0
49	23	83.9	71.0	74.4	50.9	59.3	30.3	10.4	0.0	0.0	38.5	38.2	1.1	3.6	2.8	2.3	制度要求38.5、生活防衛38.2、連帯3.6
50	23	83.9	69.4	72.9	51.1	44.1	45.5	10.4	0.0	0.0	33.1	35.0	0.9	2.7	6.9	2.2	生活防衛35.0、制度要求33.1、情報過敏6.9
51	23	83.9	69.6	73.6	51.5	44.6	39.8	15.6	0.0	0.0	32.1	38.1	1.7	2.5	2.9	3.4	生活防衛38.1、制度要求32.1、ケア3.4
52	23	83.9	69.7	74.1	49.9	42.7	46.9	10.4	0.0	0.0	29.8	32.3	2.4	3.5	5.5	2.1	生活防衛32.3、制度要求29.8、情報過敏5.5
53	23	83.9	70.4	74.3	49.4	43.6	56.4	0.0	0.0	0.0	26.9	37.6	1.1	2.7	2.9	0.0	生活防衛37.6、制度要求26.9、情報過敏2.9
54	23	83.9	68.5	72.3	49.9	38.5	61.5	0.0	0.0	0.0	28.5	31.7	1.3	2.4	10.7	0.0	生活防衛31.7、制度要求28.5、情報過敏10.7
55	23	83.9	70.9	74.8	50.9	52.8	47.2	0.0	0.0	0.0	41.4	40.2	1.5	3.3	1.5	0.0	制度要求41.4、生活防衛40.2、連帯3.3
56	23	83.9	69.6	73.4	52.0	51.7	38.8	9.6	0.0	0.0	25.7	31.9	2.9	3.1	9.4	1.1	生活防衛31.9、制度要求25.7、情報過敏9.4
57	23	83.9	72.3	75.7	50.2	62.8	37.2	0.0	0.0	0.0	29.7	36.3	2.1	3.8	2.2	0.0	生活防衛36.3、制度要求29.7、連帯3.8
58	23	83.9	71.9	75.7	50.0	57.6	32.0	10.4	0.0	0.0	28.7	31.6	1.1	3.4	9.9	2.4	生活防衛31.6、制度要求28.7、情報過敏9.9
59	23	83.9	71.8	75.9	49.7	53.7	37.2	9.2	0.0	0.0	33.7	36.2	1.0	3.1	3.6	0.9	生活防衛36.2、制度要求33.7、情報過敏3.6
60	23	83.9	70.5	73.5	49.9	48.9	45.9	5.2	0.0	0.0	38.4	41.7	0.8	2.9	0.0	1.2	生活防衛41.7、制度要求38.4、連帯2.9
61	24	87.35	73.6	76.1	49.0	68.5	31.5	0.0	0.0	0.0	36.0	35.7	1.5	4.1	3.8	0.0	制度要求36.0、生活防衛35.7、連帯4.1
62	24	87.35	75.7	78.1	48.1	83.5	16.5	0.0	0.0	0.0	34.2	38.4	0.9	4.9	1.4	0.0	生活防衛38.4、制度要求34.2、連帯4.9
63	25	90.7	77.2	78.7	49.0	87.8	12.2	0.0	0.0	0.0	41.6	37.0	0.6	5.2	2.5	0.0	制度要求41.6、生活防衛37.0、連帯5.2
64	25	90.7	77.6	79.1	48.3	91.5	8.5	0.0	0.0	0.0	36.9	35.7	1.1	5.3	4.5	0.0	制度要求36.9、生活防衛35.7、連帯5.3
65	26	93.9	77.2	77.9	49.8	95.4	4.6	0.0	0.0	0.0	44.6	39.9	0.9	5.7	0.8	0.0	制度要求44.6、生活防衛39.9、連帯5.7
66	28	100.0	75.2	75.4	48.6	77.5	22.6	0.0	0.0	0.0	35.4	37.0	0.8	4.6	3.5	0.0	生活防衛37.0、制度要求35.4、連帯4.6
67	28	100.0	73.1	72.9	48.3	69.2	30.8	0.0	0.0	0.0	26.6	33.7	0.0	4.1	7.0	0.0	生活防衛33.7、制度要求26.6、情報過敏7.0
68	28	100.0	73.6	73.5	47.0	69.2	30.8	0.0	0.0	0.0	33.8	31.9	0.4	5.8	6.6	0.0	制度要求33.8、生活防衛31.9、情報過敏6.6
69	28	100.0	74.1	74.3	47.1	75.8	24.2	0.0	0.0	0.0	33.8	32.5	0.6	5.9	4.9	0.0	制度要求33.8、生活防衛32.5、連帯5.9
70	28	100.0	72.9	72.6	48.8	67.1	28.6	4.3	0.0	0.0	33.0	34.5	0.7	5.5	5.5	0.8	生活防衛34.5、制度要求33.0、連帯5.5
71	28	100.0	71.9	71.6	47.8	62.7	37.3	0.0	0.0	0.0	31.5	31.6	1.0	6.5	6.7	0.0	生活防衛31.6、制度要求31.5、情報過敏6.7
72	29	112.0	70.2	68.9	50.4	61.4	38.6	0.0	0.0	0.0	31.9	32.0	0.6	5.9	8.4	0.0	生活防衛32.0、制度要求31.9、情報過敏8.4
73	29	112.0	72.0	71.0	49.5	64.7	35.3	0.0	0.0	0.0	33.8	31.1	1.0	7.1	7.2	0.0	制度要求33.8、生活防衛31.1、情報過敏7.2
74	29	112.0	72.0	71.5	49.4	63.7	33.3	3.0	0.0	0.0	33.3	34.2	1.0	4.0	6.7	0.0	生活防衛34.2、制度要求33.3、情報過敏6.7
75	30	124.8	73.1	73.3	49.9	81.5	18.5	0.0	0.0	0.0	30.4	31.2	0.5	7.6	6.7	0.0	生活防衛31.2、制度要求30.4、連帯7.6
76	30	124.8	73.5	73.9	49.6	85.0	15.0	0.0	0.0	0.0	39.4	37.5	0.8	6.8	3.3	0.0	制度要求39.4、生活防衛37.5、連帯6.8
77	30	124.8	74.3	74.6	49.4	90.3	7.0	2.7	0.0	0.0	36.5	34.6	1.1	8.3	3.8	0.0	制度要求36.5、生活防衛34.6、連帯8.3
78	31	138.6	71.8	70.9	49.5	65.4	32.2	2.4	0.0	0.0	24.9	23.0	2.9	8.0	11.6	0.0	制度要求24.9、生活防衛23.0、情報過敏11.6
79	31	138.6	75.4	75.0	50.5	85.7	14.3	0.0	0.0	0.0	40.9	41.7	3.4	5.3	0.0	0.0	生活防衛41.7、制度要求40.9、連帯5.3
80	31	138.6	74.9	74.6	50.6	88.1	11.9	0.0	0.0	0.0	34.3	39.5	0.2	5.4	2.1	0.0	生活防衛39.5、制度要求34.3、連帯5.4
81	32	153.3	75.1	75.3	50.7	86.4	13.6	0.0	0.0	0.0	44.0	40.6	1.2	7.1	0.0	0.0	制度要求44.0、生活防衛40.6、連帯7.1
82	32	153.3	76.6	77.1	50.7	92.1	7.9	0.0	0.0	0.0	32.4	38.3	0.8	6.8	3.1	0.0	生活防衛38.3、制度要求32.4、連帯6.8
83	32	153.3	75.0	75.6	50.3	87.1	12.9	0.0	0.0	0.0	30.0	34.1	0.9	5.7	8.0	0.0	生活防衛34.1、制度要求30.0、情報過敏8.0
