step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	feedback_summary
28	22	80.35	26.5	37.8	75.8	0.0	0.0	89.1	10.9	3.7	7.3	47.4	0.0	0.0	17.3	6.2	生活防衛47.4、情報過敏17.3、制度要求7.3
29	22	80.35	26.2	37.3	76.8	0.0	0.0	89.1	10.9	3.7	20.4	51.7	0.3	0.0	10.5	6.2	生活防衛51.7、制度要求20.4、情報過敏10.5
30	22	80.35	25.5	35.3	75.9	0.0	0.0	89.1	10.9	3.8	15.4	48.3	0.0	0.0	14.0	10.0	生活防衛48.3、制度要求15.4、情報過敏14.0
31	22	80.35	28.1	38.5	73.4	0.0	0.0	89.1	10.9	3.7	15.9	27.1	5.0	0.0	24.3	6.0	生活防衛27.1、情報過敏24.3、制度要求15.9
32	22	80.35	28.8	40.9	74.3	0.0	0.0	94.5	5.5	1.9	25.1	30.1	5.1	0.0	21.5	6.0	生活防衛30.1、制度要求25.1、情報過敏21.5
33	22	80.35	29.1	43.1	73.8	0.0	0.0	94.5	5.5	2.0	14.4	31.1	0.0	0.0	24.7	6.1	生活防衛31.1、情報過敏24.7、制度要求14.4
34	22	80.35	29.5	44.0	74.3	0.0	0.0	94.5	5.5	1.9	15.4	31.9	0.0	0.0	28.3	6.2	生活防衛31.9、情報過敏28.3、制度要求15.4
35	22	80.35	29.5	44.3	74.8	0.0	0.0	94.5	5.5	1.9	12.2	20.2	0.0	0.0	36.0	6.2	情報過敏36.0、生活防衛20.2、制度要求12.2
36	22	80.35	28.1	40.8	76.4	0.0	0.0	94.5	5.5	1.9	18.1	38.7	1.5	0.0	21.6	6.4	生活防衛38.7、情報過敏21.6、制度要求18.1
37	22	80.35	30.2	44.0	73.7	0.0	0.0	94.5	5.5	1.9	20.3	30.9	2.8	0.0	23.9	6.0	生活防衛30.9、情報過敏23.9、制度要求20.3
38	22	80.35	33.3	45.6	72.2	0.0	0.0	94.5	5.5	1.8	13.0	20.1	3.0	0.0	33.2	5.8	情報過敏33.2、生活防衛20.1、制度要求13.0
39	22	80.35	34.2	46.9	70.9	0.0	0.0	100.0	0.0	0.0	24.7	27.3	5.3	0.0	22.5	5.7	生活防衛27.3、制度要求24.7、情報過敏22.5
40	22	80.35	34.8	49.5	70.5	0.0	0.0	94.5	5.5	1.8	31.4	35.4	5.7	0.0	14.9	5.8	生活防衛35.4、制度要求31.4、情報過敏14.9
41	22	80.35	36.1	50.9	69.6	0.0	0.0	94.5	5.5	1.9	28.4	28.8	2.3	0.0	22.8	6.0	生活防衛28.8、制度要求28.4、情報過敏22.8
42	22	80.35	34.6	46.5	71.6	0.0	0.0	90.4	9.6	2.6	23.3	24.1	2.3	0.0	29.0	6.1	情報過敏29.0、生活防衛24.1、制度要求23.3
43	22	80.35	37.7	49.0	67.4	0.0	4.1	90.4	5.5	1.7	20.2	28.1	0.0	0.0	23.9	6.0	生活防衛28.1、情報過敏23.9、制度要求20.2
44	22	80.35	37.7	48.5	67.2	0.0	4.1	90.4	5.5	1.8	15.6	27.7	2.6	0.0	25.0	5.8	生活防衛27.7、情報過敏25.0、制度要求15.6
45	22	80.35	40.0	51.2	66.0	0.0	0.0	94.5	5.5	1.7	24.4	36.8	2.3	0.0	14.2	5.7	生活防衛36.8、制度要求24.4、情報過敏14.2
46	22	80.35	38.8	49.8	68.5	0.0	4.1	90.4	5.5	1.8	26.8	24.8	1.7	0.0	27.1	6.0	情報過敏27.1、制度要求26.8、生活防衛24.8
47	22	80.35	38.4	49.2	70.0	0.0	0.0	94.5	5.5	1.8	12.9	22.5	4.6	0.0	27.6	6.0	情報過敏27.6、生活防衛22.5、制度要求12.9
48	23	83.9	37.7	45.3	70.9	0.0	0.0	94.8	5.2	1.8	12.9	27.7	2.6	0.0	26.8	5.8	生活防衛27.7、情報過敏26.8、制度要求12.9
49	23	83.9	39.5	47.9	67.2	0.0	7.9	92.1	0.0	0.0	17.2	29.0	0.6	0.0	22.3	5.5	生活防衛29.0、情報過敏22.3、制度要求17.2
50	23	83.9	39.3	49.3	67.6	0.0	4.0	96.0	0.0	0.0	23.1	25.9	0.9	0.0	26.0	5.6	情報過敏26.0、生活防衛25.9、制度要求23.1
51	23	83.9	39.3	49.5	67.9	0.0	7.9	92.1	0.0	0.0	23.8	30.3	2.0	0.0	20.1	5.6	生活防衛30.3、制度要求23.8、情報過敏20.1
52	23	83.9	39.8	50.2	67.9	0.0	4.0	96.0	0.0	0.0	23.4	32.4	2.2	0.0	19.7	5.6	生活防衛32.4、制度要求23.4、情報過敏19.7
53	23	83.9	40.1	50.9	67.6	0.0	4.0	96.0	0.0	0.0	23.0	23.0	0.0	0.0	30.1	5.5	情報過敏30.1、制度要求23.0、生活防衛23.0
54	23	83.9	38.8	46.7	69.4	0.0	0.0	100.0	0.0	0.0	23.0	32.9	0.0	0.0	21.3	5.6	生活防衛32.9、制度要求23.0、情報過敏21.3
55	23	83.9	39.8	48.5	67.7	0.0	0.0	100.0	0.0	0.0	24.5	27.2	1.8	0.0	23.1	5.5	生活防衛27.2、制度要求24.5、情報過敏23.1
56	23	83.9	38.5	48.1	68.4	0.0	0.0	100.0	0.0	0.0	19.6	26.3	1.9	0.0	25.3	5.6	生活防衛26.3、情報過敏25.3、制度要求19.6
57	23	83.9	39.9	49.3	67.9	0.0	0.0	100.0	0.0	0.0	16.9	18.0	1.9	0.0	32.7	5.7	情報過敏32.7、生活防衛18.0、制度要求16.9
58	23	83.9	40.5	49.5	66.7	0.0	4.0	96.0	0.0	0.0	31.5	28.7	0.4	0.0	22.3	5.6	制度要求31.5、生活防衛28.7、情報過敏22.3
59	23	83.9	40.1	49.1	66.5	0.0	0.0	100.0	0.0	0.0	25.4	26.3	0.0	0.0	23.3	5.5	生活防衛26.3、制度要求25.4、情報過敏23.3
60	23	83.9	38.9	45.4	68.2	0.0	0.0	100.0	0.0	0.0	32.1	29.1	2.4	0.0	20.5	5.7	制度要求32.1、生活防衛29.1、情報過敏20.5
61	24	87.35	44.7	50.4	62.2	0.0	8.8	91.2	0.0	0.0	33.1	24.6	0.0	0.0	21.9	4.5	制度要求33.1、生活防衛24.6、情報過敏21.9
62	24	87.35	47.6	53.1	60.3	0.0	17.7	82.3	0.0	0.0	30.2	20.2	1.7	0.0	23.6	4.8	制度要求30.2、情報過敏23.6、生活防衛20.2
63	25	90.7	50.4	55.5	58.0	0.0	36.8	63.2	0.0	0.0	31.8	25.8	0.0	0.0	19.2	4.3	制度要求31.8、生活防衛25.8、情報過敏19.2
64	25	90.7	51.5	56.2	58.0	0.0	28.2	71.8	0.0	0.0	30.9	25.5	1.8	0.0	18.3	3.8	制度要求30.9、生活防衛25.5、情報過敏18.3
65	26	93.9	51.6	56.2	60.1	0.0	10.6	89.4	0.0	0.0	35.1	30.7	0.0	0.0	16.5	4.1	制度要求35.1、生活防衛30.7、情報過敏16.5
66	28	100.0	50.3	52.2	62.1	0.0	6.3	93.7	0.0	0.0	22.9	26.8	0.0	0.0	20.8	3.9	生活防衛26.8、制度要求22.9、情報過敏20.8
67	28	100.0	50.4	52.8	60.5	0.0	10.0	90.0	0.0	0.0	26.1	23.4	0.0	0.0	24.4	3.6	制度要求26.1、情報過敏24.4、生活防衛23.4
68	28	100.0	50.3	53.8	60.3	0.0	10.0	90.0	0.0	0.0	26.3	25.9	0.0	0.0	22.4	4.0	制度要求26.3、生活防衛25.9、情報過敏22.4
69	28	100.0	49.4	53.9	61.1	0.0	14.1	85.9	0.0	0.0	25.5	21.8	0.0	0.0	25.3	3.6	制度要求25.5、情報過敏25.3、生活防衛21.8
70	28	100.0	50.7	55.5	59.7	0.0	13.0	87.0	0.0	0.0	25.8	26.8	0.0	0.0	19.7	6.7	生活防衛26.8、制度要求25.8、情報過敏19.7
71	28	100.0	49.2	54.3	61.2	0.0	0.0	100.0	0.0	0.0	19.6	24.7	0.0	0.0	22.7	3.9	生活防衛24.7、情報過敏22.7、制度要求19.6
72	29	112.0	47.5	50.0	63.2	0.0	0.0	100.0	0.0	0.0	19.7	21.2	0.0	0.0	24.6	3.6	情報過敏24.6、生活防衛21.2、制度要求19.7
73	29	112.0	49.3	53.1	59.8	0.0	16.7	83.3	0.0	0.0	24.8	25.4	0.0	0.0	20.2	3.5	生活防衛25.4、制度要求24.8、情報過敏20.2
74	29	112.0	49.4	54.1	61.7	0.0	3.0	97.0	0.0	0.0	26.2	19.8	0.0	0.0	27.1	3.5	情報過敏27.1、制度要求26.2、生活防衛19.8
75	30	124.8	49.3	54.5	62.3	0.0	8.0	92.0	0.0	0.0	22.9	17.0	0.0	0.0	28.4	3.2	情報過敏28.4、制度要求22.9、生活防衛17.0
76	30	124.8	48.5	55.2	63.1	0.0	4.0	96.0	0.0	0.0	23.6	18.9	0.0	0.0	28.4	3.1	情報過敏28.4、制度要求23.6、生活防衛18.9
77	30	124.8	47.9	54.8	63.1	0.0	1.3	98.7	0.0	0.0	18.2	19.1	0.0	0.0	28.8	3.2	情報過敏28.8、生活防衛19.1、制度要求18.2
78	31	138.6	45.9	48.8	65.0	0.0	2.4	97.6	0.0	0.0	20.6	17.8	0.0	0.0	30.2	3.0	情報過敏30.2、制度要求20.6、生活防衛17.8
79	31	138.6	47.1	50.8	62.8	0.0	2.4	97.6	0.0	0.0	16.7	10.7	0.0	0.0	35.1	2.8	情報過敏35.1、制度要求16.7、生活防衛10.7
80	31	138.6	47.7	53.4	63.1	0.0	2.4	97.6	0.0	0.0	34.1	26.2	0.0	0.0	22.5	2.8	制度要求34.1、生活防衛26.2、情報過敏22.5
81	32	153.3	49.5	54.8	61.2	0.0	11.8	88.2	0.0	0.0	19.0	13.4	0.0	0.0	32.1	2.4	情報過敏32.1、制度要求19.0、生活防衛13.4
82	32	153.3	48.5	54.2	63.4	0.0	2.2	97.8	0.0	0.0	18.2	7.8	2.6	0.0	38.4	2.3	情報過敏38.4、制度要求18.2、生活防衛7.8
83	32	153.3	48.5	54.6	62.9	0.0	8.8	91.2	0.0	0.0	18.6	15.6	0.0	0.0	32.0	2.5	情報過敏32.0、制度要求18.6、生活防衛15.6
