順位	年代	イベント名	カテゴリ	要点	日本波及チャネル	影響強度_0to1	持続期間ステップ
15	1815	ウィーン体制成立	体制転換	革命抑止と均衡維持の保守的国際秩序を構築した。	制度信頼,地政学リスク	0.30	8
16	1830	七月革命と欧州波及	体制転換	限定的改革と再革命の連鎖可能性を欧州全体に示した。	制度信頼,社会分断	0.27	6
17	1848	欧州諸革命	体制転換	民族運動と社会問題が同時噴出し、体制対応能力の差を露呈させた。	制度信頼,社会安定	0.33	8
18	1853-1856	クリミア戦争	戦争・地政学	近代兵站と情報伝達が戦争形態を変え、列強関係を再調整した。	地政学リスク,供給網不安	0.34	7
19	1857	インド大反乱	体制転換	植民地統治の脆弱性を露呈し、帝国統治制度を再編させた。	制度信頼,地政学リスク	0.28	6
20	1861-1865	米国南北戦争	体制転換	国家統合と産業資本主義の方向を決定し、近代国家能力を拡張した。	供給網不安,雇用不確実性	0.36	8
21	1868	明治維新	体制転換	非西欧圏での急速な制度近代化と国家再編の先行例となった。	制度信頼,雇用不確実性	0.50	12
22	1870-1871	普仏戦争とドイツ統一	戦争・地政学	大陸勢力均衡を大きく変え、次世代の対立構造を準備した。	地政学リスク	0.31	7
23	1884-1885	ベルリン会議	戦争・地政学	植民地分割の国際ルール化が進み、資源・領域競争を制度化した。	供給網不安,資源価格	0.34	8
24	1894-1895	日清戦争	戦争・地政学	東アジアの勢力構図を変え、地域秩序の再編を加速した。	地政学リスク,制度信頼	0.55	11
25	1904-1905	日露戦争	戦争・地政学	大国間力学に非欧州要因を強く組み込み、帝国秩序へ影響を与えた。	地政学リスク,財政圧力	0.56	11
26	1911	辛亥革命（清朝崩壊）	体制転換	東アジアの帝政秩序を崩し、共和制移行の長期不安定過程を開始した。	地政学リスク,制度信頼	0.42	9
27	1914-1918	第一次世界大戦	戦争・地政学	帝国崩壊と総力戦体制化により20世紀政治経済の前提を刷新した。	地政学リスク,供給網不安,財政圧力	0.72	14
28	1917	ロシア革命	体制転換	社会主義体制の成立で世界的イデオロギー対立軸を形成した。	制度信頼,社会分断	0.49	11
29	1919	ベルサイユ体制	体制転換	戦後秩序の設計と矛盾を固定化し、次戦争への構造要因を残した。	制度信頼,地政学リスク	0.44	10
30	1929	世界恐慌	経済金融	金融崩壊が政治体制と社会統合を揺らす典型を示した。	雇用不確実性,生活コスト圧力,制度信頼	0.80	15
31	1937	日中戦争本格化	戦争・地政学	東アジア全域の戦時動員と資源再編を長期化させた。	地政学リスク,供給網不安,財政圧力	0.68	13
32	1939-1945	第二次世界大戦	戦争・地政学	国際秩序、国家能力、技術体系を全面的に再設計した。	地政学リスク,供給網不安,財政圧力,制度信頼	0.90	18
33	1944	ブレトンウッズ体制	経済金融	戦後通貨金融秩序を構築し、成長と安定の制度基盤を与えた。	財政圧力,制度信頼,雇用不確実性	0.55	14
34	1945	国際連合成立・核時代開始	体制転換	安全保障制度と核抑止の二層構造を世界秩序に組み込んだ。	地政学リスク,制度信頼	0.63	16
35	1947	インド独立と分離独立	体制転換	脱植民地化の大波を加速し、新興国家形成を促した。	制度信頼,供給網不安	0.35	8
36	1949	中華人民共和国成立	体制転換	人口大国の体制転換が世界戦略・生産秩序へ長期影響を与えた。	供給網不安,地政学リスク,雇用不確実性	0.62	15
37	1950-1953	朝鮮戦争	戦争・地政学	冷戦構造を軍事的に固定化し、東アジア安全保障秩序を再定義した。	地政学リスク,財政圧力	0.70	14
38	1956	スエズ危機	戦争・地政学	旧宗主国秩序の後退と米ソ主導構造への移行を可視化した。	エネルギー価格圧力,地政学リスク	0.52	10
39	1959	キューバ革命	体制転換	米州秩序と冷戦対立の最前線を形成し、地域政治を再編した。	地政学リスク,制度信頼	0.40	8
40	1962	キューバ危機	戦争・地政学	核戦争リスク管理の枠組みを実戦的に形成した。	地政学リスク,制度信頼	0.65	10
41	1971	ニクソン・ショック（金本位制終焉）	経済金融	変動相場制への移行で世界金融の変動性と政策自由度を拡大した。	財政圧力,生活コスト圧力,雇用不確実性	0.66	12
42	1973	第一次オイルショック	経済金融	エネルギー価格がインフレ・景気・外交を同時規定する構造を顕在化した。	エネルギー価格圧力,生活コスト圧力,雇用不確実性	0.84	14
43	1978	中国改革開放	経済金融	世界生産ネットワークと貿易構造の重心を長期的に移動させた。	供給網不安,雇用不確実性,計算資源格差	0.72	16
44	1979	イラン革命	体制転換	宗教政治と中東地政学の不安定化を長期化させた。	エネルギー価格圧力,地政学リスク	0.69	13
45	1989	東欧革命・ベルリンの壁崩壊	体制転換	冷戦終結過程を加速し、欧州政治経済秩序を再編した。	制度信頼,雇用不確実性	0.50	10
46	1991	ソ連崩壊	体制転換	単極化と移行経済の波を生み、国際制度と安全保障を再調整した。	地政学リスク,供給網不安	0.58	11
47	1997	アジア通貨危機	経済金融	新興国金融脆弱性と国際資本移動リスクを顕在化した。	財政圧力,雇用不確実性,制度信頼	0.74	12
48	2001	9.11同時多発テロ	戦争・地政学	安全保障・監視・対テロ戦争の政策パラダイムを転換した。	地政学リスク,制度信頼,社会分断	0.67	11
49	2008	世界金融危機（リーマン）	経済金融	金融システム不信と格差政治を拡大し、政策枠組みを再設計させた。	雇用不確実性,財政圧力,制度信頼	0.88	15
50	2020	COVID-19パンデミック	体制転換	国家能力、供給網、デジタル化、行動規範を同時に変化させた。	供給網不安,雇用不確実性,制度信頼,生活コスト圧力	0.92	18
