step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	feedback_summary
21	21	76.67	31.6	43.8	71.9	0.0	0.0	89.9	10.1	3.5	11.7	43.0	0.0	0.0	18.8	6.1	生活防衛43.0、情報過敏18.8、制度要求11.7
22	21	76.67	32.8	44.6	71.3	0.0	0.0	89.9	10.1	3.4	14.7	37.2	0.0	0.0	21.1	9.9	生活防衛37.2、情報過敏21.1、制度要求14.7
23	21	76.67	33.8	45.5	71.5	0.0	0.0	100.0	0.0	0.0	11.6	39.7	1.1	0.0	18.2	6.2	生活防衛39.7、情報過敏18.2、制度要求11.6
24	22	80.35	32.0	42.3	73.4	0.0	0.0	94.5	5.5	1.9	9.3	49.8	0.7	0.0	14.2	6.1	生活防衛49.8、情報過敏14.2、制度要求9.3
25	22	80.35	29.9	42.3	74.6	0.0	0.0	94.5	5.5	5.5	9.1	37.1	0.0	0.0	19.7	6.2	生活防衛37.1、情報過敏19.7、制度要求9.1
26	22	80.35	29.4	42.6	74.8	0.0	0.0	94.5	5.5	2.0	9.9	28.0	0.0	0.0	26.6	10.1	生活防衛28.0、情報過敏26.6、ケア10.1
27	22	80.35	29.0	42.5	75.4	0.0	0.0	90.4	9.6	3.4	22.1	53.7	0.4	0.0	10.8	6.5	生活防衛53.7、制度要求22.1、情報過敏10.8
28	22	80.35	28.3	42.9	75.5	0.0	0.0	90.4	9.6	3.4	11.7	34.3	0.0	0.0	28.4	6.5	生活防衛34.3、情報過敏28.4、制度要求11.7
29	22	80.35	28.2	42.9	75.1	0.0	0.0	90.4	9.6	3.4	12.3	49.3	0.3	0.0	15.3	6.3	生活防衛49.3、情報過敏15.3、制度要求12.3
30	22	80.35	27.3	40.4	74.6	0.0	0.0	90.4	9.6	3.4	10.0	45.5	0.3	0.0	18.5	6.2	生活防衛45.5、情報過敏18.5、制度要求10.0
31	22	80.35	30.0	43.5	72.0	0.0	0.0	90.4	9.6	3.4	20.6	19.8	0.0	0.0	35.5	6.0	情報過敏35.5、制度要求20.6、生活防衛19.8
32	22	80.35	30.3	45.0	72.9	0.0	0.0	90.4	9.6	3.4	11.8	29.5	0.0	0.0	28.8	6.0	生活防衛29.5、情報過敏28.8、制度要求11.8
33	22	80.35	31.4	47.0	71.9	0.0	0.0	94.5	5.5	1.9	17.8	31.4	4.8	0.0	19.1	6.0	生活防衛31.4、情報過敏19.1、制度要求17.8
34	22	80.35	32.4	48.9	70.8	0.0	0.0	94.5	5.5	1.8	14.8	28.7	4.4	0.0	24.0	6.1	生活防衛28.7、情報過敏24.0、制度要求14.8
35	22	80.35	31.5	49.9	72.3	0.0	0.0	94.5	5.5	1.9	21.3	34.0	2.4	0.0	21.7	6.2	生活防衛34.0、情報過敏21.7、制度要求21.3
36	22	80.35	31.2	46.4	72.3	0.0	0.0	94.5	5.5	1.9	16.2	29.6	2.6	0.0	24.5	6.2	生活防衛29.6、情報過敏24.5、制度要求16.2
37	22	80.35	32.5	48.7	71.1	0.0	0.0	94.5	5.5	1.9	23.4	31.5	4.1	0.0	19.0	6.1	生活防衛31.5、制度要求23.4、情報過敏19.0
38	22	80.35	34.2	50.5	70.9	0.0	0.0	94.5	5.5	1.9	22.2	36.5	2.2	0.0	18.7	6.2	生活防衛36.5、制度要求22.2、情報過敏18.7
39	22	80.35	34.2	50.0	71.7	0.0	0.0	94.5	5.5	2.0	26.9	32.8	4.3	0.0	17.1	6.1	生活防衛32.8、制度要求26.9、情報過敏17.1
40	22	80.35	35.2	51.9	72.1	0.0	0.0	94.5	5.5	1.9	28.4	25.9	4.6	0.0	24.4	6.0	制度要求28.4、生活防衛25.9、情報過敏24.4
41	22	80.35	37.1	52.8	70.5	0.0	0.0	100.0	0.0	0.0	23.5	27.9	2.3	0.0	23.8	5.7	生活防衛27.9、情報過敏23.8、制度要求23.5
42	22	80.35	35.8	48.7	72.4	0.0	0.0	100.0	0.0	0.0	15.2	20.5	2.4	0.0	32.2	6.0	情報過敏32.2、生活防衛20.5、制度要求15.2
43	22	80.35	37.0	50.1	70.5	0.0	4.1	95.9	0.0	0.0	15.3	35.4	0.0	0.0	20.0	6.2	生活防衛35.4、情報過敏20.0、制度要求15.3
44	22	80.35	40.1	51.2	68.5	0.0	8.3	91.7	0.0	0.0	18.2	28.3	2.3	0.0	21.7	6.0	生活防衛28.3、情報過敏21.7、制度要求18.2
45	22	80.35	43.3	54.8	64.7	0.0	12.4	87.6	0.0	0.0	31.1	28.3	0.0	0.0	22.3	5.9	制度要求31.1、生活防衛28.3、情報過敏22.3
46	22	80.35	42.3	54.0	66.3	0.0	4.1	95.9	0.0	0.0	21.8	33.8	2.4	0.0	15.7	5.8	生活防衛33.8、制度要求21.8、情報過敏15.7
47	22	80.35	43.2	54.0	65.3	0.0	4.1	95.9	0.0	0.0	26.3	22.0	0.0	0.0	26.8	5.9	情報過敏26.8、制度要求26.3、生活防衛22.0
48	23	83.9	42.0	50.6	67.5	0.0	0.0	94.8	5.2	1.8	16.8	26.0	3.3	0.0	23.8	5.7	生活防衛26.0、情報過敏23.8、制度要求16.8
49	23	83.9	42.5	51.9	66.2	0.0	4.0	90.8	5.2	1.9	18.9	22.4	1.9	0.0	26.8	5.7	情報過敏26.8、生活防衛22.4、制度要求18.9
50	23	83.9	42.1	53.7	65.9	0.0	4.0	90.8	5.2	1.8	22.6	19.1	2.0	0.0	28.5	5.6	情報過敏28.5、制度要求22.6、生活防衛19.1
51	23	83.9	43.4	55.6	64.9	0.0	4.0	90.8	5.2	1.8	35.1	31.5	4.4	0.0	15.2	5.5	制度要求35.1、生活防衛31.5、情報過敏15.2
52	23	83.9	42.7	55.3	65.5	0.0	0.0	100.0	0.0	0.0	27.3	30.0	3.9	0.0	17.2	5.6	生活防衛30.0、制度要求27.3、情報過敏17.2
53	23	83.9	43.4	56.2	65.5	0.0	0.0	100.0	0.0	0.0	28.8	34.6	0.3	0.0	16.9	5.7	生活防衛34.6、制度要求28.8、情報過敏16.9
54	23	83.9	41.6	51.9	67.6	0.0	0.0	100.0	0.0	0.0	23.3	30.0	0.0	0.0	23.1	5.9	生活防衛30.0、制度要求23.3、情報過敏23.1
55	23	83.9	43.0	52.2	66.0	0.0	9.2	90.8	0.0	0.0	26.1	28.5	2.3	0.0	19.6	5.8	生活防衛28.5、制度要求26.1、情報過敏19.6
56	23	83.9	43.0	52.9	65.2	0.0	7.9	92.1	0.0	0.0	32.3	32.7	0.5	0.0	16.9	5.6	生活防衛32.7、制度要求32.3、情報過敏16.9
57	23	83.9	43.7	53.4	64.5	0.0	7.9	92.1	0.0	0.0	27.9	22.7	0.3	0.0	26.8	5.7	制度要求27.9、情報過敏26.8、生活防衛22.7
58	23	83.9	43.7	53.4	65.2	0.0	4.0	96.0	0.0	0.0	19.1	27.6	0.3	0.0	22.3	5.6	生活防衛27.6、情報過敏22.3、制度要求19.1
59	23	83.9	45.7	55.2	62.2	0.0	19.9	80.1	0.0	0.0	15.7	28.5	0.0	0.0	18.0	5.5	生活防衛28.5、情報過敏18.0、制度要求15.7
60	23	83.9	43.8	51.4	64.8	0.0	4.0	96.0	0.0	0.0	20.5	23.4	0.0	0.0	23.6	8.4	情報過敏23.6、生活防衛23.4、制度要求20.5
61	24	87.35	50.1	56.8	55.7	0.0	59.6	40.4	0.0	0.0	33.7	24.0	1.7	0.0	16.7	4.4	制度要求33.7、生活防衛24.0、情報過敏16.7
62	24	87.35	52.1	58.7	57.6	0.0	38.2	61.8	0.0	0.0	26.3	27.5	3.4	0.0	14.7	4.7	生活防衛27.5、制度要求26.3、情報過敏14.7
63	25	90.7	52.4	59.1	58.1	0.0	30.2	69.8	0.0	0.0	23.0	21.9	2.1	0.0	21.4	3.9	制度要求23.0、生活防衛21.9、情報過敏21.4
64	24	87.35	53.0	60.1	58.6	0.0	24.4	75.6	0.0	0.0	27.4	33.9	1.9	0.0	11.2	3.8	生活防衛33.9、制度要求27.4、情報過敏11.2
65	26	93.9	53.9	60.3	58.6	0.0	17.7	82.3	0.0	0.0	28.7	25.1	2.0	0.0	18.4	4.0	制度要求28.7、生活防衛25.1、情報過敏18.4
66	28	100.0	51.7	55.4	61.7	0.0	0.0	100.0	0.0	0.0	23.5	21.3	2.2	0.0	23.0	3.8	制度要求23.5、情報過敏23.0、生活防衛21.3
67	28	100.0	52.8	57.2	60.0	0.0	11.0	89.0	0.0	0.0	24.9	15.8	0.0	0.0	29.6	3.8	情報過敏29.6、制度要求24.9、生活防衛15.8
68	28	100.0	53.4	59.3	59.2	0.0	13.1	86.9	0.0	0.0	34.7	34.6	0.0	0.0	12.8	3.7	制度要求34.7、生活防衛34.6、情報過敏12.8
69	28	100.0	52.4	59.5	59.5	0.0	16.6	83.4	0.0	0.0	26.9	25.3	0.0	0.0	22.2	3.5	制度要求26.9、生活防衛25.3、情報過敏22.2
70	28	100.0	52.5	59.5	58.6	0.0	23.0	77.0	0.0	0.0	29.8	25.1	0.0	0.0	18.4	3.4	制度要求29.8、生活防衛25.1、情報過敏18.4
71	28	100.0	51.4	59.2	59.5	0.0	20.0	80.0	0.0	0.0	26.3	20.2	0.0	0.0	27.9	3.9	情報過敏27.9、制度要求26.3、生活防衛20.2
72	29	112.0	48.9	53.3	62.0	0.0	7.8	92.2	0.0	0.0	25.0	22.8	0.0	0.0	25.5	3.2	情報過敏25.5、制度要求25.0、生活防衛22.8
73	29	112.0	50.2	56.4	60.6	0.0	22.1	77.9	0.0	0.0	31.9	32.5	0.0	0.0	16.4	3.5	生活防衛32.5、制度要求31.9、情報過敏16.4
74	29	112.0	50.2	57.4	59.2	0.0	16.7	83.3	0.0	0.0	31.7	33.3	0.0	0.0	14.4	2.6	生活防衛33.3、制度要求31.7、情報過敏14.4
75	30	124.8	50.3	59.1	58.8	0.0	19.8	80.2	0.0	0.0	36.7	28.0	0.2	0.0	16.7	2.8	制度要求36.7、生活防衛28.0、情報過敏16.7
76	30	124.8	50.3	58.5	57.6	0.0	23.1	76.9	0.0	0.0	37.4	28.3	0.0	0.0	16.6	2.5	制度要求37.4、生活防衛28.3、情報過敏16.6
77	30	124.8	49.9	59.4	58.9	0.0	14.2	85.8	0.0	0.0	30.4	23.0	0.0	0.0	23.9	2.8	制度要求30.4、情報過敏23.9、生活防衛23.0
78	31	138.6	47.8	53.9	61.8	0.0	2.4	97.6	0.0	0.0	25.6	20.6	0.0	0.0	26.7	3.0	情報過敏26.7、制度要求25.6、生活防衛20.6
79	31	138.6	49.2	57.3	59.3	0.0	22.2	77.8	0.0	0.0	30.8	28.3	0.0	0.0	17.1	2.8	制度要求30.8、生活防衛28.3、情報過敏17.1
80	31	138.6	48.3	57.5	61.1	0.0	8.7	91.3	0.0	0.0	32.0	25.7	0.0	0.0	21.4	2.5	制度要求32.0、生活防衛25.7、情報過敏21.4
81	32	153.3	51.7	59.5	58.1	0.0	37.8	62.2	0.0	0.0	31.7	28.4	1.2	0.0	15.9	2.0	制度要求31.7、生活防衛28.4、情報過敏15.9
82	32	153.3	50.7	59.4	59.0	0.0	22.3	77.7	0.0	0.0	30.4	24.7	0.1	0.0	21.4	2.0	制度要求30.4、生活防衛24.7、情報過敏21.4
83	32	153.3	50.0	59.0	60.9	0.0	10.9	89.1	0.0	0.0	17.7	10.1	0.8	0.0	32.7	2.3	情報過敏32.7、制度要求17.7、生活防衛10.1
